                   1   1.62407963002e-07   1.62407916701e-07   1.62407686729e-07
                   2   1.62403747245e-08   1.62403627337e-08   1.62403332129e-08
                   3   4.14637120834e-09   4.14636641123e-09   4.14635776065e-09
                   4   1.55710581186e-09   1.55710334789e-09   1.55709975675e-09
                   5   7.23040107995e-10   7.23038637939e-10   7.23036823165e-10
                   6   3.84103497324e-10   3.84102541931e-10   3.84101514282e-10
                   7   2.23971365744e-10   2.23970702614e-10    2.2397006943e-10
                   8   1.39844741153e-10   1.39844248643e-10   1.39843831683e-10
                   9   9.20160644087e-11   9.20156923449e-11   9.20154068553e-11
                  10   6.31127479282e-11   6.31124567248e-11   6.31122539789e-11
                  11   4.47700026101e-11   4.47697683522e-11   4.47696199203e-11
                  12   3.26569609756e-11   3.26567689771e-11   3.26566575893e-11
                  13   2.43870882997e-11   2.43869299155e-11   2.43868448865e-11
                  14   1.85809887556e-11   1.85808554822e-11   1.85807892136e-11
                  15   1.44050142847e-11   1.44049011059e-11   1.44048487791e-11
                  17   9.04356353415e-12   9.04347920288e-12   9.04344516616e-12
                  19   5.95446532147e-12   5.95440092273e-12   5.95437796826e-12
                  21   4.07362048981e-12   4.07356990617e-12   4.07355387919e-12
                  23   2.87580389719e-12   2.87576345131e-12   2.87575197543e-12
                  25   2.08437140803e-12   2.08433834476e-12   2.08432991188e-12
                  27   1.54486218961e-12   1.54483490159e-12     1.544828622e-12
                  29   1.16725797711e-12   1.16723521156e-12   1.16723045801e-12
                  31   8.96841167426e-13   8.96821903814e-13   8.96818248293e-13
                  34   6.20534883066e-13    6.2051967566e-13   6.20517165892e-13
                  37   4.41427886273e-13   4.41415609113e-13   4.41413843038e-13
                  40    3.2146559274e-13   3.21455589897e-13   3.21454334082e-13
                  43   2.38905034103e-13    2.3889676591e-13   2.38895858785e-13
                  46   1.80691277785e-13   1.80684359014e-13   1.80683697612e-13
                  49   1.38791062752e-13   1.38785224242e-13   1.38784739818e-13
                  53   9.97084380415e-14   9.97036990947e-14    9.9703374837e-14
                  57   7.31430564485e-14   7.31391720107e-14   7.31389560424e-14
                  61   5.46414878125e-14   5.46382705921e-14   5.46381273232e-14
                  65    4.1481136074e-14   4.14784364228e-14   4.14783428951e-14
                  70   2.99796931642e-14   2.99775020633e-14     2.997745035e-14
                  75   2.20910486155e-14    2.2089244082e-14   2.20892189713e-14
                  80   1.65560312646e-14   1.65545281433e-14   1.65545201823e-14
                  86   1.19441269161e-14   1.19429091287e-14   1.19429139876e-14
                  92   8.78245093164e-15   8.78144980249e-15   8.78146194652e-15
                  98   6.56639180827e-15   6.56555963348e-15   6.56557574138e-15
                 105   4.76539319844e-15   4.76471519059e-15    4.7647333912e-15
                 112   3.52081934872e-15   3.52025978711e-15   3.52027833425e-15
                 120   2.53971375584e-15   2.53925957525e-15   2.53927755805e-15
                 128   1.86597434849e-15   1.86560140461e-15   1.86561838385e-15
                 137   1.34520004306e-15   1.34489694491e-15   1.34491257882e-15
                 146   9.87740815111e-16   9.87491679339e-16   9.87505933552e-16
                 156   7.14348332196e-16   7.14145593559e-16   7.14158344467e-16
                 166   5.26058355157e-16   5.25891484916e-16   5.25902857301e-16
                 177   3.82826035489e-16    3.8268969563e-16   3.82699717674e-16
                 189   2.76100983369e-16   2.75990258495e-16   2.75998992235e-16
                 202   1.97862478067e-16   1.97772919864e-16   1.97780465975e-16
                 215   1.44556048455e-16   1.44482790105e-16   1.44489318951e-16
                 229   1.05111063784e-16   1.05051374376e-16   1.05056990466e-16
                 244   7.61977207071e-17   7.61491726912e-17   7.61539791031e-17
                 260   5.51339770046e-17    5.5094566425e-17   5.50986557443e-17
                 277   3.98671495242e-17   3.98351865069e-17   3.98386525222e-17
                 295   2.88350545176e-17   2.88091433548e-17   2.88120716352e-17
                 314   2.08794446942e-17   2.08584312931e-17   2.08608996731e-17
                 334   1.51464911692e-17   1.51294282882e-17    1.5131507637e-17
                 356    1.0851149182e-17   1.08374120747e-17   1.08391477795e-17
                 379   7.80494243411e-18   7.79385873065e-18   7.79530632845e-18
                 404   5.56337901358e-18   5.55448867628e-18   5.55568718941e-18
                 430   3.98815470022e-18    3.9809955286e-18   3.98198913586e-18
                 458   2.84085219158e-18   2.83511173971e-18   2.83593026118e-18
                 488   2.01476189995e-18   2.01017329694e-18   2.01084418624e-18
                 519   1.44035366936e-18   1.43666682943e-18   1.43721826924e-18
                 552   1.02770156219e-18   1.02474443932e-18   1.02519618091e-18
                 588   7.26273663464e-19   7.23919041675e-19   7.24285866792e-19
                 626   5.14340141201e-19   5.12464702441e-19   5.12762137141e-19
                 666   3.65423618891e-19   3.63928796247e-19   3.64169707084e-19
                 709    2.5867558915e-19   2.57488884095e-19    2.5768299859e-19
                 754   1.84089736185e-19   1.83145728443e-19   1.83302206521e-19
                 802   1.30807428146e-19   1.30058279373e-19   1.30183921723e-19
                 853   9.29078734969e-20   9.23142440943e-20   9.24148557591e-20
                 908   6.56033655906e-20   6.51352932831e-20   6.52153754781e-20
                 966   4.64055821614e-20   4.60363865829e-20   4.61000727781e-20
                1028   3.27326710112e-20   3.24423379084e-20   3.24927793038e-20
                1094    2.3060539965e-20   2.28326480696e-20   2.28724852874e-20
                1164   1.62601632522e-20   1.60814849008e-20   1.61128770426e-20
                1238   1.14896276994e-20   1.13495763243e-20   1.13742829715e-20
                1317   8.10860573881e-21    7.9991408727e-21    8.0185139345e-21
                1401    5.7238376163e-21   5.63842559586e-21   5.65358086585e-21
                1490    4.0447864663e-21   3.97820999112e-21   3.99004135718e-21
