#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.113716E+06   0.113716E+06   0.151609E+06   0.151606E+06   0.137499E+06   0.114443E+06   0.113716E+06   0.119638E+06  -0.606929E+00   0.113353E+06   0.113353E+06   0.490480E+01
   0.830005E-04   0.113716E+06   0.113716E+06   0.151606E+06   0.151602E+06   0.137496E+06   0.114442E+06   0.113716E+06   0.119637E+06  -0.606927E+00   0.113353E+06   0.113353E+06   0.548120E+01
   0.927547E-04   0.113716E+06   0.113715E+06   0.151602E+06   0.151597E+06   0.137492E+06   0.114442E+06   0.113716E+06   0.119637E+06  -0.606924E+00   0.113353E+06   0.113352E+06   0.612533E+01
   0.103655E-03   0.113715E+06   0.113715E+06   0.151597E+06   0.151591E+06   0.137487E+06   0.114442E+06   0.113715E+06   0.119636E+06  -0.606920E+00   0.113352E+06   0.113352E+06   0.684515E+01
   0.115837E-03   0.113715E+06   0.113714E+06   0.151590E+06   0.151583E+06   0.137480E+06   0.114441E+06   0.113715E+06   0.119635E+06  -0.606916E+00   0.113352E+06   0.113352E+06   0.764955E+01
   0.129450E-03   0.113714E+06   0.113713E+06   0.151582E+06   0.151573E+06   0.137472E+06   0.114440E+06   0.113714E+06   0.119634E+06  -0.606910E+00   0.113351E+06   0.113351E+06   0.854847E+01
   0.144662E-03   0.113714E+06   0.113713E+06   0.151572E+06   0.151560E+06   0.137462E+06   0.114439E+06   0.113714E+06   0.119633E+06  -0.606903E+00   0.113351E+06   0.113350E+06   0.955301E+01
   0.161663E-03   0.113713E+06   0.113711E+06   0.151559E+06   0.151545E+06   0.137450E+06   0.114438E+06   0.113713E+06   0.119631E+06  -0.606894E+00   0.113350E+06   0.113349E+06   0.106756E+02
   0.180661E-03   0.113712E+06   0.113710E+06   0.151543E+06   0.151525E+06   0.137434E+06   0.114436E+06   0.113712E+06   0.119629E+06  -0.606884E+00   0.113349E+06   0.113348E+06   0.119300E+02
   0.201893E-03   0.113711E+06   0.113708E+06   0.151524E+06   0.151501E+06   0.137415E+06   0.114434E+06   0.113710E+06   0.119626E+06  -0.606870E+00   0.113347E+06   0.113346E+06   0.133319E+02
   0.225619E-03   0.113709E+06   0.113706E+06   0.151499E+06   0.151470E+06   0.137390E+06   0.114432E+06   0.113709E+06   0.119623E+06  -0.606853E+00   0.113345E+06   0.113344E+06   0.148984E+02
   0.252133E-03   0.113707E+06   0.113703E+06   0.151468E+06   0.151433E+06   0.137360E+06   0.114429E+06   0.113706E+06   0.119619E+06  -0.606832E+00   0.113343E+06   0.113342E+06   0.166489E+02
   0.281764E-03   0.113705E+06   0.113700E+06   0.151430E+06   0.151385E+06   0.137322E+06   0.114425E+06   0.113704E+06   0.119614E+06  -0.606806E+00   0.113341E+06   0.113339E+06   0.186050E+02
   0.314876E-03   0.113701E+06   0.113695E+06   0.151382E+06   0.151326E+06   0.137275E+06   0.114421E+06   0.113700E+06   0.119608E+06  -0.606773E+00   0.113337E+06   0.113335E+06   0.207907E+02
   0.351880E-03   0.113697E+06   0.113690E+06   0.151322E+06   0.151252E+06   0.137216E+06   0.114415E+06   0.113696E+06   0.119600E+06  -0.606732E+00   0.113333E+06   0.113330E+06   0.232331E+02
   0.393233E-03   0.113693E+06   0.113683E+06   0.151247E+06   0.151160E+06   0.137143E+06   0.114408E+06   0.113691E+06   0.119590E+06  -0.606680E+00   0.113328E+06   0.113324E+06   0.259621E+02
   0.439445E-03   0.113686E+06   0.113674E+06   0.151153E+06   0.151046E+06   0.137051E+06   0.114398E+06   0.113685E+06   0.119578E+06  -0.606616E+00   0.113321E+06   0.113317E+06   0.290114E+02
   0.491089E-03   0.113679E+06   0.113664E+06   0.151037E+06   0.150902E+06   0.136936E+06   0.114387E+06   0.113676E+06   0.119562E+06  -0.606536E+00   0.113313E+06   0.113307E+06   0.324182E+02
   0.548801E-03   0.113669E+06   0.113650E+06   0.150891E+06   0.150723E+06   0.136793E+06   0.114373E+06   0.113666E+06   0.119543E+06  -0.606437E+00   0.113303E+06   0.113296E+06   0.362245E+02
   0.613296E-03   0.113657E+06   0.113634E+06   0.150709E+06   0.150500E+06   0.136615E+06   0.114355E+06   0.113654E+06   0.119519E+06  -0.606312E+00   0.113290E+06   0.113281E+06   0.404766E+02
   0.685369E-03   0.113642E+06   0.113613E+06   0.150483E+06   0.150222E+06   0.136392E+06   0.114333E+06   0.113638E+06   0.119489E+06  -0.606156E+00   0.113274E+06   0.113263E+06   0.452265E+02
   0.765913E-03   0.113624E+06   0.113587E+06   0.150200E+06   0.149875E+06   0.136115E+06   0.114305E+06   0.113618E+06   0.119452E+06  -0.605962E+00   0.113254E+06   0.113240E+06   0.505319E+02
   0.855923E-03   0.113601E+06   0.113555E+06   0.149848E+06   0.149443E+06   0.135770E+06   0.114271E+06   0.113594E+06   0.119406E+06  -0.605720E+00   0.113229E+06   0.113212E+06   0.564569E+02
   0.956510E-03   0.113572E+06   0.113515E+06   0.149409E+06   0.148905E+06   0.135339E+06   0.114228E+06   0.113563E+06   0.119348E+06  -0.605418E+00   0.113198E+06   0.113176E+06   0.630730E+02
   0.106892E-02   0.113536E+06   0.113465E+06   0.148862E+06   0.148235E+06   0.134803E+06   0.114175E+06   0.113525E+06   0.119275E+06  -0.605042E+00   0.113160E+06   0.113132E+06   0.704593E+02
   0.119454E-02   0.113491E+06   0.113402E+06   0.148182E+06   0.147403E+06   0.134137E+06   0.114108E+06   0.113477E+06   0.119185E+06  -0.604573E+00   0.113111E+06   0.113077E+06   0.787033E+02
   0.133492E-02   0.113435E+06   0.113324E+06   0.147336E+06   0.146369E+06   0.133309E+06   0.114025E+06   0.113417E+06   0.119073E+06  -0.603989E+00   0.113051E+06   0.113008E+06   0.879019E+02
   0.149180E-02   0.113365E+06   0.113226E+06   0.146285E+06   0.145087E+06   0.132281E+06   0.113921E+06   0.113343E+06   0.118934E+06  -0.603261E+00   0.112976E+06   0.112922E+06   0.981616E+02
   0.166711E-02   0.113278E+06   0.113105E+06   0.144982E+06   0.143500E+06   0.131009E+06   0.113793E+06   0.113250E+06   0.118761E+06  -0.602357E+00   0.112883E+06   0.112816E+06   0.109599E+03
   0.186303E-02   0.113169E+06   0.112953E+06   0.143368E+06   0.141541E+06   0.129436E+06   0.113633E+06   0.113135E+06   0.118545E+06  -0.601234E+00   0.112767E+06   0.112683E+06   0.122343E+03
   0.208197E-02   0.113034E+06   0.112765E+06   0.141373E+06   0.139127E+06   0.127496E+06   0.113434E+06   0.112991E+06   0.118278E+06  -0.599840E+00   0.112622E+06   0.112517E+06   0.136530E+03
   0.232664E-02   0.112866E+06   0.112530E+06   0.138916E+06   0.136164E+06   0.125111E+06   0.113188E+06   0.112813E+06   0.117948E+06  -0.598112E+00   0.112441E+06   0.112311E+06   0.152310E+03
   0.260006E-02   0.112657E+06   0.112238E+06   0.135897E+06   0.132543E+06   0.122191E+06   0.112884E+06   0.112591E+06   0.117540E+06  -0.595976E+00   0.112217E+06   0.112055E+06   0.169843E+03
   0.290562E-02   0.112398E+06   0.111875E+06   0.132205E+06   0.128142E+06   0.118634E+06   0.112508E+06   0.112315E+06   0.117038E+06  -0.593340E+00   0.111938E+06   0.111736E+06   0.189293E+03
