#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.824091E+07   0.824091E+07   0.108770E+08   0.108766E+08   0.824153E+07   0.824092E+07   0.824091E+07   0.824656E+07  -0.591680E+00   0.789975E+07   0.789975E+07   0.117546E+00
   0.830005E-04   0.824082E+07   0.824081E+07   0.108495E+08   0.108490E+08   0.824122E+07   0.824082E+07   0.824082E+07   0.824644E+07  -0.591672E+00   0.789965E+07   0.789965E+07   0.131340E+00
   0.927547E-04   0.824070E+07   0.824069E+07   0.108152E+08   0.108146E+08   0.824083E+07   0.824070E+07   0.824070E+07   0.824630E+07  -0.591661E+00   0.789954E+07   0.789954E+07   0.146748E+00
   0.103655E-03   0.824054E+07   0.824054E+07   0.107725E+08   0.107717E+08   0.824035E+07   0.824054E+07   0.824054E+07   0.824612E+07  -0.591648E+00   0.789939E+07   0.789939E+07   0.163957E+00
   0.115837E-03   0.824036E+07   0.824036E+07   0.107194E+08   0.107184E+08   0.823974E+07   0.824035E+07   0.824036E+07   0.824590E+07  -0.591631E+00   0.789920E+07   0.789920E+07   0.183173E+00
   0.129450E-03   0.824012E+07   0.824012E+07   0.106534E+08   0.106522E+08   0.823898E+07   0.824010E+07   0.824012E+07   0.824562E+07  -0.591611E+00   0.789898E+07   0.789898E+07   0.204627E+00
   0.144662E-03   0.823983E+07   0.823983E+07   0.105716E+08   0.105701E+08   0.823804E+07   0.823980E+07   0.823983E+07   0.824528E+07  -0.591585E+00   0.789869E+07   0.789869E+07   0.228574E+00
   0.161663E-03   0.823947E+07   0.823947E+07   0.104702E+08   0.104683E+08   0.823686E+07   0.823942E+07   0.823947E+07   0.824484E+07  -0.591553E+00   0.789834E+07   0.789833E+07   0.255295E+00
   0.180661E-03   0.823901E+07   0.823901E+07   0.103448E+08   0.103426E+08   0.823540E+07   0.823895E+07   0.823901E+07   0.824431E+07  -0.591513E+00   0.789789E+07   0.789789E+07   0.285103E+00
   0.201893E-03   0.823845E+07   0.823844E+07   0.101903E+08   0.101875E+08   0.823356E+07   0.823836E+07   0.823845E+07   0.824364E+07  -0.591463E+00   0.789734E+07   0.789734E+07   0.318337E+00
   0.225619E-03   0.823774E+07   0.823774E+07   0.100004E+08   0.999698E+07   0.823128E+07   0.823762E+07   0.823774E+07   0.824281E+07  -0.591401E+00   0.789664E+07   0.789664E+07   0.355372E+00
   0.252133E-03   0.823686E+07   0.823686E+07   0.976785E+07   0.976377E+07   0.822843E+07   0.823671E+07   0.823686E+07   0.824177E+07  -0.591324E+00   0.789578E+07   0.789578E+07   0.396615E+00
   0.281764E-03   0.823577E+07   0.823576E+07   0.948467E+07   0.947978E+07   0.822487E+07   0.823557E+07   0.823577E+07   0.824048E+07  -0.591228E+00   0.789471E+07   0.789471E+07   0.442506E+00
   0.314876E-03   0.823441E+07   0.823439E+07   0.914196E+07   0.913614E+07   0.822045E+07   0.823415E+07   0.823440E+07   0.823889E+07  -0.591109E+00   0.789338E+07   0.789337E+07   0.493517E+00
   0.351880E-03   0.823271E+07   0.823270E+07   0.873049E+07   0.872368E+07   0.821494E+07   0.823239E+07   0.823271E+07   0.823691E+07  -0.590962E+00   0.789171E+07   0.789171E+07   0.550151E+00
   0.393233E-03   0.823061E+07   0.823059E+07   0.824144E+07   0.823360E+07   0.820809E+07   0.823020E+07   0.823060E+07   0.823447E+07  -0.590779E+00   0.788965E+07   0.788965E+07   0.612934E+00
   0.439445E-03   0.822800E+07   0.822798E+07   0.766756E+07   0.765873E+07   0.819957E+07   0.822748E+07   0.822800E+07   0.823146E+07  -0.590555E+00   0.788708E+07   0.788708E+07   0.682414E+00
   0.491089E-03   0.822477E+07   0.822474E+07   0.700496E+07   0.699531E+07   0.818900E+07   0.822412E+07   0.822476E+07   0.822775E+07  -0.590278E+00   0.788390E+07   0.788390E+07   0.759148E+00
   0.548801E-03   0.822077E+07   0.822074E+07   0.625560E+07   0.624548E+07   0.817589E+07   0.821996E+07   0.822077E+07   0.822320E+07  -0.589939E+00   0.787997E+07   0.787997E+07   0.843693E+00
   0.613296E-03   0.821585E+07   0.821581E+07   0.543034E+07   0.542029E+07   0.815968E+07   0.821483E+07   0.821584E+07   0.821764E+07  -0.589525E+00   0.787511E+07   0.787511E+07   0.936598E+00
   0.685369E-03   0.820979E+07   0.820974E+07   0.455221E+07   0.454302E+07   0.813965E+07   0.820852E+07   0.820979E+07   0.821088E+07  -0.589021E+00   0.786912E+07   0.786912E+07   0.103840E+01
   0.765913E-03   0.820237E+07   0.820230E+07   0.365887E+07   0.365151E+07   0.811498E+07   0.820079E+07   0.820236E+07   0.820268E+07  -0.588411E+00   0.786177E+07   0.786177E+07   0.114960E+01
   0.855923E-03   0.819330E+07   0.819322E+07   0.280264E+07   0.279808E+07   0.808468E+07   0.819133E+07   0.819329E+07   0.819278E+07  -0.587676E+00   0.785278E+07   0.785277E+07   0.127074E+01
   0.956510E-03   0.818227E+07   0.818216E+07   0.204546E+07   0.204435E+07   0.804765E+07   0.817983E+07   0.818225E+07   0.818089E+07  -0.586794E+00   0.784181E+07   0.784181E+07   0.140235E+01
   0.106892E-02   0.816891E+07   0.816878E+07   0.144642E+07   0.144866E+07   0.800257E+07   0.816590E+07   0.816889E+07   0.816665E+07  -0.585743E+00   0.782852E+07   0.782851E+07   0.154508E+01
   0.119454E-02   0.815281E+07   0.815265E+07   0.104170E+07   0.104602E+07   0.794798E+07   0.814910E+07   0.815278E+07   0.814964E+07  -0.584494E+00   0.781247E+07   0.781247E+07   0.169972E+01
   0.133492E-02   0.813349E+07   0.813329E+07   0.822316E+06   0.826402E+06   0.788227E+07   0.812894E+07   0.813346E+07   0.812937E+07  -0.583014E+00   0.779322E+07   0.779321E+07   0.186727E+01
   0.149180E-02   0.811044E+07   0.811019E+07   0.724349E+06   0.725773E+06   0.780377E+07   0.810488E+07   0.811040E+07   0.810526E+07  -0.581265E+00   0.777025E+07   0.777024E+07   0.204900E+01
   0.166711E-02   0.808305E+07   0.808274E+07   0.650880E+06   0.648946E+06   0.771076E+07   0.807630E+07   0.808300E+07   0.807664E+07  -0.579199E+00   0.774300E+07   0.774299E+07   0.224631E+01
   0.186303E-02   0.805070E+07   0.805031E+07   0.531210E+06   0.528216E+06   0.760323E+07   0.804258E+07   0.805064E+07   0.804286E+07  -0.576768E+00   0.771088E+07   0.771087E+07   0.246066E+01
   0.208197E-02   0.801257E+07   0.801208E+07   0.379032E+06   0.378558E+06   0.747735E+07   0.800286E+07   0.801249E+07   0.800305E+07  -0.573908E+00   0.767308E+07   0.767307E+07   0.269345E+01
   0.232664E-02   0.796788E+07   0.796728E+07   0.272276E+06   0.274526E+06   0.733337E+07   0.795637E+07   0.796778E+07   0.795651E+07  -0.570563E+00   0.762887E+07   0.762885E+07   0.294603E+01
   0.260006E-02   0.791578E+07   0.791503E+07   0.238614E+06   0.239322E+06   0.717052E+07   0.790225E+07   0.791566E+07   0.790238E+07  -0.566674E+00   0.757741E+07   0.757738E+07   0.321993E+01
   0.290562E-02   0.785543E+07   0.785450E+07   0.204989E+06   0.203118E+06   0.698991E+07   0.783971E+07   0.785528E+07   0.783982E+07  -0.562183E+00   0.751792E+07   0.751789E+07   0.351689E+01
   0.324709E-02   0.778597E+07   0.778481E+07   0.141881E+06   0.142322E+06   0.679232E+07   0.776790E+07   0.778578E+07   0.776798E+07  -0.557029E+00   0.744962E+07   0.744958E+07   0.383869E+01
   0.362868E-02   0.770657E+07   0.770513E+07   0.116343E+06   0.117230E+06   0.657866E+07   0.768604E+07   0.770634E+07   0.768610E+07  -0.551154E+00   0.737174E+07   0.737169E+07   0.418704E+01
   0.405512E-02   0.761647E+07   0.761469E+07   0.985898E+05   0.968322E+05   0.634992E+07   0.759340E+07   0.761619E+07   0.759345E+07  -0.544507E+00   0.728357E+07   0.728352E+07   0.456376E+01
   0.453168E-02   0.751498E+07   0.751278E+07   0.705743E+05   0.697884E+05   0.610629E+07   0.748928E+07   0.751463E+07   0.748932E+07  -0.537038E+00   0.718448E+07   0.718442E+07   0.497060E+01
   0.506423E-02   0.740143E+07   0.739871E+07   0.646526E+05   0.601920E+05   0.584728E+07   0.737304E+07   0.740100E+07   0.737307E+07  -0.528700E+00   0.707385E+07   0.707376E+07   0.540914E+01
   0.512082E-02   0.738939E+07   0.738661E+07   0.624503E+05   0.580331E+05   0.582051E+07   0.736072E+07   0.738895E+07   0.736075E+07  -0.527816E+00   0.706212E+07   0.706204E+07   0.545479E+01
   0.517803E-02   0.737722E+07   0.737438E+07   0.599560E+05   0.557472E+05   0.579358E+07   0.734828E+07   0.737677E+07   0.734831E+07  -0.526924E+00   0.705028E+07   0.705020E+07   0.550078E+01
   0.523589E-02   0.736492E+07   0.736203E+07   0.572899E+05   0.534447E+05   0.576648E+07   0.733570E+07   0.736446E+07   0.733573E+07  -0.526022E+00   0.703831E+07   0.703823E+07   0.554709E+01
   0.529439E-02   0.735250E+07   0.734954E+07   0.545904E+05   0.512404E+05   0.573923E+07   0.732300E+07   0.735203E+07   0.732303E+07  -0.525111E+00   0.702622E+07   0.702613E+07   0.559374E+01
   0.535354E-02   0.733994E+07   0.733692E+07   0.519990E+05   0.492409E+05   0.571182E+07   0.731017E+07   0.733946E+07   0.731020E+07  -0.524191E+00   0.701401E+07   0.701392E+07   0.564073E+01
