#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186303E-02   0.476158E+06   0.475850E+06   0.464144E+06   0.456210E+06   0.433205E+06   0.475284E+06   0.476109E+06   0.479367E+06  -0.591708E+00   0.474228E+06   0.474177E+06   0.368818E+02
   0.208197E-02   0.474842E+06   0.474458E+06   0.427372E+06   0.418417E+06   0.418161E+06   0.473693E+06   0.474781E+06   0.477452E+06  -0.589190E+00   0.472816E+06   0.472753E+06   0.409978E+02
   0.232664E-02   0.473226E+06   0.472749E+06   0.385150E+06   0.375331E+06   0.400336E+06   0.471751E+06   0.473150E+06   0.475139E+06  -0.586143E+00   0.471083E+06   0.471004E+06   0.455197E+02
   0.260006E-02   0.471252E+06   0.470657E+06   0.337749E+06   0.327392E+06   0.379487E+06   0.469396E+06   0.471157E+06   0.472366E+06  -0.582484E+00   0.468962E+06   0.468864E+06   0.504703E+02
   0.290562E-02   0.468850E+06   0.468109E+06   0.286063E+06   0.275708E+06   0.355510E+06   0.466557E+06   0.468732E+06   0.469073E+06  -0.578126E+00   0.466381E+06   0.466260E+06   0.558688E+02
   0.324709E-02   0.465946E+06   0.465023E+06   0.231817E+06   0.222237E+06   0.328502E+06   0.463161E+06   0.465799E+06   0.465200E+06  -0.572991E+00   0.463259E+06   0.463110E+06   0.617298E+02
   0.362868E-02   0.462459E+06   0.461310E+06   0.177706E+06   0.169860E+06   0.298861E+06   0.459136E+06   0.462276E+06   0.460699E+06  -0.567013E+00   0.459511E+06   0.459327E+06   0.680636E+02
   0.405512E-02   0.458306E+06   0.456878E+06   0.127342E+06   0.122216E+06   0.267376E+06   0.454414E+06   0.458079E+06   0.455534E+06  -0.560149E+00   0.455049E+06   0.454824E+06   0.748762E+02
   0.453168E-02   0.453408E+06   0.451635E+06   0.848346E+05   0.831299E+05   0.235262E+06   0.448939E+06   0.453126E+06   0.449685E+06  -0.552384E+00   0.449793E+06   0.449516E+06   0.821720E+02
   0.506423E-02   0.447692E+06   0.445494E+06   0.538451E+05   0.555459E+05   0.204093E+06   0.442668E+06   0.447342E+06   0.443142E+06  -0.543732E+00   0.443674E+06   0.443336E+06   0.899571E+02
   0.512082E-02   0.447073E+06   0.444827E+06   0.514727E+05   0.534725E+05   0.201094E+06   0.441996E+06   0.446716E+06   0.442449E+06  -0.542820E+00   0.443013E+06   0.442667E+06   0.907629E+02
   0.517803E-02   0.446446E+06   0.444151E+06   0.492362E+05   0.515227E+05   0.198124E+06   0.441316E+06   0.446080E+06   0.441749E+06  -0.541898E+00   0.442342E+06   0.441990E+06   0.915737E+02
   0.523589E-02   0.445809E+06   0.443465E+06   0.471354E+05   0.496949E+05   0.195184E+06   0.440627E+06   0.445436E+06   0.441042E+06  -0.540969E+00   0.441662E+06   0.441303E+06   0.923895E+02
   0.529439E-02   0.445164E+06   0.442768E+06   0.451699E+05   0.479873E+05   0.192275E+06   0.439930E+06   0.444782E+06   0.440327E+06  -0.540031E+00   0.440974E+06   0.440607E+06   0.932104E+02
   0.535354E-02   0.444509E+06   0.442062E+06   0.433386E+05   0.463979E+05   0.189400E+06   0.439225E+06   0.444120E+06   0.439606E+06  -0.539084E+00   0.440275E+06   0.439901E+06   0.940363E+02
   0.541336E-02   0.443846E+06   0.441346E+06   0.416403E+05   0.449240E+05   0.186559E+06   0.438511E+06   0.443448E+06   0.438877E+06  -0.538129E+00   0.439568E+06   0.439186E+06   0.948673E+02
   0.547384E-02   0.443173E+06   0.440619E+06   0.400732E+05   0.435627E+05   0.183754E+06   0.437789E+06   0.442767E+06   0.438142E+06  -0.537166E+00   0.438851E+06   0.438462E+06   0.957035E+02
   0.553500E-02   0.442491E+06   0.439882E+06   0.386351E+05   0.423108E+05   0.180986E+06   0.437059E+06   0.442076E+06   0.437399E+06  -0.536194E+00   0.438125E+06   0.437728E+06   0.965447E+02
   0.559684E-02   0.441801E+06   0.439135E+06   0.373234E+05   0.411645E+05   0.178258E+06   0.436320E+06   0.441376E+06   0.436648E+06  -0.535214E+00   0.437390E+06   0.436985E+06   0.973911E+02
   0.565938E-02   0.441101E+06   0.438378E+06   0.361350E+05   0.401199E+05   0.175569E+06   0.435573E+06   0.440667E+06   0.435891E+06  -0.534226E+00   0.436645E+06   0.436232E+06   0.982426E+02
   0.572261E-02   0.440392E+06   0.437610E+06   0.350667E+05   0.391724E+05   0.172921E+06   0.434818E+06   0.439949E+06   0.435126E+06  -0.533230E+00   0.435891E+06   0.435469E+06   0.990993E+02
   0.578655E-02   0.439673E+06   0.436832E+06   0.341144E+05   0.383175E+05   0.170316E+06   0.434054E+06   0.439221E+06   0.434354E+06  -0.532225E+00   0.435127E+06   0.434698E+06   0.999613E+02
   0.585120E-02   0.438946E+06   0.436044E+06   0.332738E+05   0.375500E+05   0.167753E+06   0.433281E+06   0.438484E+06   0.433574E+06  -0.531212E+00   0.434354E+06   0.433916E+06   0.100828E+03
   0.591658E-02   0.438209E+06   0.435244E+06   0.325403E+05   0.368646E+05   0.165235E+06   0.432500E+06   0.437737E+06   0.432787E+06  -0.530191E+00   0.433572E+06   0.433125E+06   0.101701E+03
   0.598268E-02   0.437463E+06   0.434434E+06   0.319088E+05   0.362556E+05   0.162762E+06   0.431711E+06   0.436981E+06   0.431992E+06  -0.529162E+00   0.432781E+06   0.432325E+06   0.102578E+03
   0.604953E-02   0.436707E+06   0.433614E+06   0.313736E+05   0.357171E+05   0.160334E+06   0.430913E+06   0.436215E+06   0.431189E+06  -0.528124E+00   0.431980E+06   0.431515E+06   0.103461E+03
   0.611712E-02   0.435942E+06   0.432783E+06   0.309290E+05   0.352431E+05   0.157952E+06   0.430107E+06   0.435439E+06   0.430379E+06  -0.527078E+00   0.431170E+06   0.430695E+06   0.104350E+03
   0.618547E-02   0.435168E+06   0.431941E+06   0.305688E+05   0.348271E+05   0.155616E+06   0.429292E+06   0.434654E+06   0.429561E+06  -0.526023E+00   0.430350E+06   0.429866E+06   0.105243E+03
   0.625458E-02   0.434384E+06   0.431088E+06   0.302863E+05   0.344626E+05   0.153327E+06   0.428468E+06   0.433859E+06   0.428735E+06  -0.524961E+00   0.429521E+06   0.429028E+06   0.106142E+03
   0.632446E-02   0.433591E+06   0.430225E+06   0.300747E+05   0.341431E+05   0.151086E+06   0.427636E+06   0.433055E+06   0.427901E+06  -0.523890E+00   0.428683E+06   0.428180E+06   0.107046E+03
   0.639513E-02   0.432788E+06   0.429350E+06   0.299269E+05   0.338619E+05   0.148891E+06   0.426796E+06   0.432241E+06   0.427059E+06  -0.522810E+00   0.427835E+06   0.427322E+06   0.107956E+03
   0.646658E-02   0.431976E+06   0.428465E+06   0.298354E+05   0.336121E+05   0.146743E+06   0.425946E+06   0.431417E+06   0.426209E+06  -0.521722E+00   0.426978E+06   0.426455E+06   0.108871E+03
   0.653883E-02   0.431154E+06   0.427568E+06   0.297928E+05   0.333870E+05   0.144642E+06   0.425089E+06   0.430584E+06   0.425351E+06  -0.520626E+00   0.426112E+06   0.425578E+06   0.109791E+03
   0.661189E-02   0.430323E+06   0.426661E+06   0.297914E+05   0.331798E+05   0.142587E+06   0.424222E+06   0.429740E+06   0.424484E+06  -0.519521E+00   0.425236E+06   0.424692E+06   0.110717E+03
   0.668576E-02   0.429482E+06   0.425742E+06   0.298232E+05   0.329841E+05   0.140578E+06   0.423347E+06   0.428887E+06   0.423609E+06  -0.518407E+00   0.424351E+06   0.423796E+06   0.111648E+03
   0.676046E-02   0.428632E+06   0.424813E+06   0.298804E+05   0.327933E+05   0.138614E+06   0.422463E+06   0.428024E+06   0.422726E+06  -0.517284E+00   0.423457E+06   0.422891E+06   0.112585E+03
   0.683600E-02   0.427772E+06   0.423872E+06   0.299551E+05   0.326011E+05   0.136695E+06   0.421570E+06   0.427152E+06   0.421833E+06  -0.516153E+00   0.422554E+06   0.421977E+06   0.113527E+03
   0.691238E-02   0.426903E+06   0.422920E+06   0.300395E+05   0.324015E+05   0.134820E+06   0.420668E+06   0.426269E+06   0.420933E+06  -0.515012E+00   0.421641E+06   0.421053E+06   0.114475E+03
   0.698961E-02   0.426024E+06   0.421957E+06   0.301257E+05   0.321888E+05   0.132987E+06   0.419758E+06   0.425377E+06   0.420023E+06  -0.513862E+00   0.420719E+06   0.420119E+06   0.115428E+03
   0.706771E-02   0.425135E+06   0.420982E+06   0.302062E+05   0.319576E+05   0.131196E+06   0.418839E+06   0.424474E+06   0.419104E+06  -0.512704E+00   0.419788E+06   0.419177E+06   0.116387E+03
   0.714668E-02   0.424237E+06   0.419996E+06   0.302736E+05   0.317030E+05   0.129445E+06   0.417910E+06   0.423562E+06   0.418177E+06  -0.511536E+00   0.418848E+06   0.418224E+06   0.117351E+03
   0.722653E-02   0.423330E+06   0.418999E+06   0.303208E+05   0.314205E+05   0.127733E+06   0.416973E+06   0.422640E+06   0.417240E+06  -0.510358E+00   0.417898E+06   0.417263E+06   0.118320E+03
   0.730727E-02   0.422412E+06   0.417991E+06   0.303410E+05   0.311060E+05   0.126059E+06   0.416027E+06   0.421708E+06   0.416294E+06  -0.509171E+00   0.416939E+06   0.416292E+06   0.119295E+03
   0.738891E-02   0.421485E+06   0.416970E+06   0.303280E+05   0.307562E+05   0.124420E+06   0.415072E+06   0.420766E+06   0.415338E+06  -0.507974E+00   0.415971E+06   0.415311E+06   0.120275E+03
   0.747147E-02   0.420548E+06   0.415939E+06   0.302757E+05   0.303681E+05   0.122816E+06   0.414107E+06   0.419814E+06   0.414373E+06  -0.506768E+00   0.414994E+06   0.414321E+06   0.121261E+03
   0.755495E-02   0.419602E+06   0.414896E+06   0.301789E+05   0.299396E+05   0.121244E+06   0.413134E+06   0.418853E+06   0.413399E+06  -0.505551E+00   0.414008E+06   0.413322E+06   0.122252E+03
   0.763936E-02   0.418645E+06   0.413841E+06   0.300329E+05   0.294690E+05   0.119702E+06   0.412151E+06   0.417881E+06   0.412415E+06  -0.504325E+00   0.413013E+06   0.412313E+06   0.123248E+03
   0.772472E-02   0.417680E+06   0.412774E+06   0.298334E+05   0.289553E+05   0.118190E+06   0.411159E+06   0.416899E+06   0.411421E+06  -0.503087E+00   0.412008E+06   0.411295E+06   0.124250E+03
   0.781102E-02   0.416704E+06   0.411696E+06   0.295770E+05   0.283985E+05   0.116704E+06   0.410157E+06   0.415907E+06   0.410417E+06  -0.501840E+00   0.410994E+06   0.410268E+06   0.125257E+03
   0.789830E-02   0.415718E+06   0.410606E+06   0.292611E+05   0.277990E+05   0.115242E+06   0.409146E+06   0.414905E+06   0.409404E+06  -0.500582E+00   0.409972E+06   0.409231E+06   0.126269E+03
   0.798655E-02   0.414723E+06   0.409504E+06   0.288837E+05   0.271578E+05   0.113804E+06   0.408126E+06   0.413893E+06   0.408380E+06  -0.499313E+00   0.408940E+06   0.408184E+06   0.127286E+03
   0.807578E-02   0.413718E+06   0.408391E+06   0.284438E+05   0.264771E+05   0.112386E+06   0.407096E+06   0.412870E+06   0.407346E+06  -0.498033E+00   0.407898E+06   0.407128E+06   0.128308E+03
   0.816601E-02   0.412704E+06   0.407265E+06   0.279411E+05   0.257592E+05   0.110988E+06   0.406057E+06   0.411838E+06   0.406302E+06  -0.496742E+00   0.406848E+06   0.406063E+06   0.129336E+03
   0.825725E-02   0.411679E+06   0.406128E+06   0.273761E+05   0.250074E+05   0.109606E+06   0.405007E+06   0.410795E+06   0.405248E+06  -0.495440E+00   0.405788E+06   0.404988E+06   0.130368E+03
   0.834951E-02   0.410644E+06   0.404978E+06   0.267505E+05   0.242256E+05   0.108238E+06   0.403949E+06   0.409743E+06   0.404184E+06  -0.494126E+00   0.404719E+06   0.403904E+06   0.131405E+03
   0.844280E-02   0.409600E+06   0.403817E+06   0.260664E+05   0.234182E+05   0.106884E+06   0.402880E+06   0.408680E+06   0.403109E+06  -0.492801E+00   0.403641E+06   0.402810E+06   0.132447E+03
   0.853713E-02   0.408546E+06   0.402643E+06   0.253272E+05   0.225900E+05   0.105541E+06   0.401802E+06   0.407606E+06   0.402024E+06  -0.491464E+00   0.402554E+06   0.401707E+06   0.133494E+03
