#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186303E-02   0.148379E+08   0.148375E+08   0.346095E+06   0.346989E+06   0.142701E+08   0.148276E+08   0.148378E+08   0.148277E+08  -0.531624E+00   0.112959E+08   0.112959E+08   0.123429E+01
   0.208197E-02   0.147662E+08   0.147657E+08   0.302402E+06   0.300539E+06   0.140866E+08   0.147539E+08   0.147662E+08   0.147540E+08  -0.528979E+00   0.112400E+08   0.112400E+08   0.135020E+01
   0.232664E-02   0.146824E+08   0.146818E+08   0.201695E+06   0.201944E+06   0.138756E+08   0.146678E+08   0.146823E+08   0.146678E+08  -0.525888E+00   0.111748E+08   0.111747E+08   0.147609E+01
   0.260006E-02   0.145847E+08   0.145840E+08   0.156792E+06   0.157789E+06   0.136351E+08   0.145675E+08   0.145846E+08   0.145676E+08  -0.522292E+00   0.110988E+08   0.110988E+08   0.161271E+01
   0.290562E-02   0.144718E+08   0.144708E+08   0.136919E+06   0.134925E+06   0.133654E+08   0.144517E+08   0.144716E+08   0.144518E+08  -0.518138E+00   0.110111E+08   0.110110E+08   0.176088E+01
   0.324709E-02   0.143419E+08   0.143407E+08   0.911502E+05   0.899001E+05   0.130662E+08   0.143188E+08   0.143417E+08   0.143188E+08  -0.513370E+00   0.109103E+08   0.109103E+08   0.192150E+01
   0.362868E-02   0.141937E+08   0.141922E+08   0.858023E+05   0.806674E+05   0.127369E+08   0.141672E+08   0.141934E+08   0.141673E+08  -0.507936E+00   0.107955E+08   0.107955E+08   0.209542E+01
   0.405512E-02   0.140257E+08   0.140239E+08   0.549101E+05   0.546938E+05   0.123773E+08   0.139957E+08   0.140254E+08   0.139957E+08  -0.501786E+00   0.106655E+08   0.106655E+08   0.228357E+01
   0.453168E-02   0.138366E+08   0.138344E+08   0.454896E+05   0.453649E+05   0.119865E+08   0.138030E+08   0.138363E+08   0.138030E+08  -0.494875E+00   0.105195E+08   0.105194E+08   0.248679E+01
   0.506423E-02   0.136254E+08   0.136226E+08   0.374993E+05   0.365640E+05   0.115629E+08   0.135878E+08   0.136249E+08   0.135878E+08  -0.487159E+00   0.103564E+08   0.103564E+08   0.270588E+01
   0.512082E-02   0.136030E+08   0.136001E+08   0.368710E+05   0.358881E+05   0.115187E+08   0.135650E+08   0.136025E+08   0.135650E+08  -0.486342E+00   0.103391E+08   0.103391E+08   0.272869E+01
   0.517803E-02   0.135803E+08   0.135774E+08   0.356746E+05   0.347674E+05   0.114741E+08   0.135420E+08   0.135799E+08   0.135420E+08  -0.485516E+00   0.103217E+08   0.103216E+08   0.275166E+01
   0.523589E-02   0.135575E+08   0.135545E+08   0.339717E+05   0.332697E+05   0.114292E+08   0.135187E+08   0.135570E+08   0.135187E+08  -0.484682E+00   0.103041E+08   0.103040E+08   0.277481E+01
   0.529439E-02   0.135344E+08   0.135313E+08   0.319396E+05   0.315492E+05   0.113840E+08   0.134952E+08   0.135339E+08   0.134952E+08  -0.483838E+00   0.102862E+08   0.102862E+08   0.279812E+01
   0.535354E-02   0.135110E+08   0.135079E+08   0.298362E+05   0.298135E+05   0.113385E+08   0.134714E+08   0.135105E+08   0.134714E+08  -0.482987E+00   0.102682E+08   0.102682E+08   0.282159E+01
   0.541336E-02   0.134874E+08   0.134843E+08   0.279465E+05   0.282767E+05   0.112926E+08   0.134474E+08   0.134869E+08   0.134474E+08  -0.482126E+00   0.102501E+08   0.102500E+08   0.284524E+01
   0.547384E-02   0.134636E+08   0.134604E+08   0.265185E+05   0.271099E+05   0.112463E+08   0.134232E+08   0.134631E+08   0.134232E+08  -0.481257E+00   0.102317E+08   0.102316E+08   0.286905E+01
   0.553500E-02   0.134395E+08   0.134363E+08   0.229468E+05   0.229467E+05   0.111998E+08   0.133987E+08   0.134390E+08   0.133987E+08  -0.480379E+00   0.102131E+08   0.102131E+08   0.289303E+01
   0.559684E-02   0.134152E+08   0.134119E+08   0.223999E+05   0.223998E+05   0.111529E+08   0.133740E+08   0.134147E+08   0.133740E+08  -0.479493E+00   0.101944E+08   0.101943E+08   0.291718E+01
   0.565938E-02   0.133907E+08   0.133873E+08   0.218655E+05   0.218654E+05   0.111056E+08   0.133490E+08   0.133901E+08   0.133490E+08  -0.478597E+00   0.101755E+08   0.101754E+08   0.294150E+01
   0.572261E-02   0.133659E+08   0.133624E+08   0.213434E+05   0.213433E+05   0.110580E+08   0.133238E+08   0.133653E+08   0.133238E+08  -0.477693E+00   0.101564E+08   0.101563E+08   0.296599E+01
   0.578655E-02   0.133408E+08   0.133373E+08   0.208332E+05   0.208332E+05   0.110101E+08   0.132983E+08   0.133403E+08   0.132983E+08  -0.476780E+00   0.101371E+08   0.101370E+08   0.299065E+01
   0.585120E-02   0.133155E+08   0.133119E+08   0.203348E+05   0.203347E+05   0.109619E+08   0.132726E+08   0.133149E+08   0.132726E+08  -0.475858E+00   0.101176E+08   0.101175E+08   0.301548E+01
   0.591658E-02   0.132900E+08   0.132863E+08   0.198479E+05   0.198478E+05   0.109133E+08   0.132466E+08   0.132894E+08   0.132466E+08  -0.474927E+00   0.100979E+08   0.100978E+08   0.304048E+01
   0.598268E-02   0.132642E+08   0.132604E+08   0.193721E+05   0.193721E+05   0.108644E+08   0.132204E+08   0.132636E+08   0.132204E+08  -0.473986E+00   0.100780E+08   0.100779E+08   0.306566E+01
