                   1   1.62759537525e-07
                   2   1.63926233479e-08
                   3   4.19624528001e-09
                   4   1.57736068568e-09
                   5   7.32601799786e-10
                   6   3.89184658147e-10
                   7   2.26918384224e-10
                   8    1.4166942243e-10
                   9   9.32075126708e-11
                  10   6.39210978926e-11
                  11   4.53375895733e-11
                  12   3.30664890935e-11
                  13   2.46901680429e-11
                  14    1.8809415814e-11
                  15   1.45800491365e-11
                  17   9.15108294951e-12
                  19   6.02395084738e-12
                  21   4.12012406154e-12
                  23   2.90798628654e-12
                  25   2.10716777193e-12
                  27   1.56143133199e-12
                  29   1.17952611439e-12
                  31   9.06069801706e-13
                  34   6.26726542692e-13
                  37   4.45683913994e-13
                  40   3.24489224668e-13
                  43   2.41080506226e-13
                  46   1.82290451301e-13
                  49   1.39982071539e-13
                  53    1.0052614234e-13
                  57   7.37225852553e-14
                  61   5.50614351518e-14
                  65   4.17883433961e-14
                  70   3.01940296199e-14
                  75   2.22426040588e-14
                  80   1.66659220842e-14
                  86   1.20221354432e-14
                  92   8.83826858286e-15
                  98   6.60740558898e-15
                 105    4.7951021568e-15
                 112    3.5428144302e-15
                 120   2.55600699277e-15
                 128   1.87836284009e-15
                 137   1.35446740064e-15
                 146   9.94847722445e-16
                 156   7.19803750256e-16
                 166   5.30305585839e-16
                 177   3.86083777467e-16
                 189   2.78570023055e-16
                 202    1.9972345709e-16
                 215   1.45980575338e-16
                 229   1.06170185461e-16
                 244   7.69724404493e-17
                 260   5.57118871993e-17
                 277   4.03048809879e-17
                 295   2.91735377016e-17
                 314   2.11423706209e-17
                 334   1.53495383496e-17
                 356   1.10048797485e-17
                 379    7.9220938723e-18
                 404   5.65157063239e-18
                 430   4.05442037747e-18
                 458   2.89052452622e-18
                 488    2.0519042343e-18
                 519   1.46823809499e-18
                 552   1.04848793933e-18
                 588   7.41467471606e-19
                 626   5.25457271518e-19
                 666   3.73561812442e-19
                 709   2.64557552835e-19
                 754   1.88347088045e-19
                 802   1.33874685688e-19
                 853   9.50960009677e-20
                 908   6.71454893136e-20
                 966   4.74855748519e-20
                1028     3.347812869e-20
                1094    2.3572680908e-20
                1164   1.66061962809e-20
                1238   1.17206845483e-20
                1317   8.26033717435e-21
                1401   5.81980227505e-21
                1490   4.10254139148e-21
                1585   2.88563329584e-21
                1686   2.02849944127e-21
                1793   1.42735517469e-21
                1907   1.00344813075e-21
                2028   7.05642235289e-22
                2157   4.95492448398e-22
                2294    3.4790416157e-22
                2439   2.44585229805e-22
                2594   1.71571643697e-22
                2758   1.20510996648e-22
                2933   8.45019867142e-23
                3119   5.92408994222e-23
                3316   4.15721025788e-23
                3526   2.91335643415e-23
                3749   2.04179974051e-23
                3986   1.43057609124e-23
                4238   1.00187084996e-23
                4506   7.01292958357e-24
                4791   4.90641187153e-24
                5094   3.43127418163e-24
                5416   2.39899790533e-24
                5758   1.67711837188e-24
                6122   1.17150103808e-24
                6509   8.17934220866e-25
                6920   5.71039818252e-25
                7357   3.98465520882e-25
                7822   2.77836128064e-25
                8316   1.93683175265e-25
                8841   1.34970381064e-25
                9399    9.4022517129e-26
                9992   6.54729562604e-26
               10622   4.55805178873e-26
               11292   3.17131914742e-26
               12004   2.20564244959e-26
               12761   1.53323403258e-26
               13566   1.06519088391e-26
               14422   7.39618991397e-27
               15332   5.13329987361e-27
               16299   3.56180018513e-27
               17327   2.47029504689e-27
               18419   1.71306319188e-27
               19580   1.18743266971e-27
               20814   8.22829215653e-28
               22126    5.6995174131e-28
               23520   3.94743263494e-28
               25000   2.73440863181e-28


