#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.118553E+07   0.118553E+07   0.157861E+07   0.157856E+07   0.119488E+07   0.118570E+07   0.118553E+07   0.119143E+07  -0.601016E+00   0.118363E+07   0.118363E+07   0.686464E+00
   0.830005E-04   0.118553E+07   0.118553E+07   0.157807E+07   0.157801E+07   0.119480E+07   0.118570E+07   0.118553E+07   0.119142E+07  -0.601011E+00   0.118362E+07   0.118362E+07   0.767118E+00
   0.927547E-04   0.118552E+07   0.118552E+07   0.157741E+07   0.157733E+07   0.119471E+07   0.118568E+07   0.118552E+07   0.119140E+07  -0.601003E+00   0.118361E+07   0.118361E+07   0.857245E+00
   0.103655E-03   0.118550E+07   0.118550E+07   0.157657E+07   0.157647E+07   0.119459E+07   0.118567E+07   0.118550E+07   0.119138E+07  -0.600994E+00   0.118360E+07   0.118360E+07   0.957952E+00
   0.115837E-03   0.118549E+07   0.118549E+07   0.157554E+07   0.157541E+07   0.119444E+07   0.118565E+07   0.118549E+07   0.119136E+07  -0.600982E+00   0.118358E+07   0.118358E+07   0.107048E+01
   0.129450E-03   0.118547E+07   0.118547E+07   0.157424E+07   0.157408E+07   0.119426E+07   0.118563E+07   0.118547E+07   0.119134E+07  -0.600968E+00   0.118356E+07   0.118356E+07   0.119622E+01
   0.144662E-03   0.118544E+07   0.118544E+07   0.157262E+07   0.157243E+07   0.119403E+07   0.118560E+07   0.118544E+07   0.119130E+07  -0.600950E+00   0.118354E+07   0.118354E+07   0.133670E+01
   0.161663E-03   0.118541E+07   0.118541E+07   0.157060E+07   0.157036E+07   0.119374E+07   0.118556E+07   0.118541E+07   0.119126E+07  -0.600927E+00   0.118350E+07   0.118350E+07   0.149366E+01
   0.180661E-03   0.118537E+07   0.118537E+07   0.156808E+07   0.156778E+07   0.119339E+07   0.118552E+07   0.118537E+07   0.119120E+07  -0.600899E+00   0.118346E+07   0.118346E+07   0.166901E+01
   0.201893E-03   0.118533E+07   0.118532E+07   0.156494E+07   0.156457E+07   0.119294E+07   0.118546E+07   0.118533E+07   0.119114E+07  -0.600864E+00   0.118341E+07   0.118341E+07   0.186489E+01
