#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.416702E+07   0.416702E+07   0.552824E+07   0.552804E+07   0.416930E+07   0.416707E+07   0.416702E+07   0.417279E+07  -0.599160E+00   0.414270E+07   0.414270E+07   0.221858E+00
   0.830005E-04   0.416698E+07   0.416698E+07   0.552129E+07   0.552104E+07   0.416910E+07   0.416702E+07   0.416698E+07   0.417274E+07  -0.599152E+00   0.414266E+07   0.414266E+07   0.247911E+00
   0.927547E-04   0.416693E+07   0.416693E+07   0.551262E+07   0.551231E+07   0.416886E+07   0.416697E+07   0.416693E+07   0.417268E+07  -0.599142E+00   0.414261E+07   0.414261E+07   0.277019E+00
   0.103655E-03   0.416687E+07   0.416686E+07   0.550181E+07   0.550142E+07   0.416855E+07   0.416690E+07   0.416687E+07   0.417260E+07  -0.599130E+00   0.414254E+07   0.414254E+07   0.309536E+00
   0.115837E-03   0.416678E+07   0.416678E+07   0.548834E+07   0.548785E+07   0.416816E+07   0.416681E+07   0.416678E+07   0.417250E+07  -0.599115E+00   0.414246E+07   0.414246E+07   0.345860E+00
   0.129450E-03   0.416668E+07   0.416668E+07   0.547156E+07   0.547096E+07   0.416768E+07   0.416670E+07   0.416668E+07   0.417237E+07  -0.599097E+00   0.414235E+07   0.414235E+07   0.386432E+00
   0.144662E-03   0.416656E+07   0.416655E+07   0.545067E+07   0.544992E+07   0.416708E+07   0.416657E+07   0.416656E+07   0.417221E+07  -0.599073E+00   0.414222E+07   0.414222E+07   0.431744E+00
   0.161663E-03   0.416640E+07   0.416640E+07   0.542468E+07   0.542376E+07   0.416634E+07   0.416640E+07   0.416640E+07   0.417202E+07  -0.599044E+00   0.414206E+07   0.414206E+07   0.482340E+00
   0.180661E-03   0.416620E+07   0.416620E+07   0.539240E+07   0.539125E+07   0.416540E+07   0.416619E+07   0.416620E+07   0.417177E+07  -0.599008E+00   0.414186E+07   0.414186E+07   0.538827E+00
   0.201893E-03   0.416596E+07   0.416595E+07   0.535233E+07   0.535091E+07   0.416424E+07   0.416592E+07   0.416596E+07   0.417147E+07  -0.598963E+00   0.414160E+07   0.414160E+07   0.601874E+00
   0.225619E-03   0.416565E+07   0.416564E+07   0.530268E+07   0.530093E+07   0.416278E+07   0.416560E+07   0.416565E+07   0.417109E+07  -0.598906E+00   0.414129E+07   0.414129E+07   0.672223E+00
   0.252133E-03   0.416527E+07   0.416526E+07   0.524129E+07   0.523913E+07   0.416097E+07   0.416519E+07   0.416527E+07   0.417062E+07  -0.598836E+00   0.414089E+07   0.414089E+07   0.750690E+00
   0.281764E-03   0.416479E+07   0.416478E+07   0.516555E+07   0.516291E+07   0.415871E+07   0.416468E+07   0.416479E+07   0.417003E+07  -0.598748E+00   0.414040E+07   0.414040E+07   0.838171E+00
   0.314876E-03   0.416420E+07   0.416418E+07   0.507241E+07   0.506918E+07   0.415590E+07   0.416404E+07   0.416419E+07   0.416930E+07  -0.598639E+00   0.413979E+07   0.413979E+07   0.935646E+00
   0.351880E-03   0.416345E+07   0.416344E+07   0.495830E+07   0.495440E+07   0.415239E+07   0.416325E+07   0.416345E+07   0.416839E+07  -0.598503E+00   0.413903E+07   0.413903E+07   0.104418E+01
   0.393233E-03   0.416253E+07   0.416252E+07   0.481919E+07   0.481450E+07   0.414802E+07   0.416227E+07   0.416253E+07   0.416726E+07  -0.598335E+00   0.413808E+07   0.413808E+07   0.116493E+01
   0.439445E-03   0.416139E+07   0.416136E+07   0.465064E+07   0.464504E+07   0.414258E+07   0.416104E+07   0.416138E+07   0.416586E+07  -0.598126E+00   0.413689E+07   0.413689E+07   0.129911E+01
   0.491089E-03   0.415996E+07   0.415993E+07   0.444796E+07   0.444138E+07   0.413583E+07   0.415952E+07   0.415996E+07   0.416413E+07  -0.597868E+00   0.413542E+07   0.413542E+07   0.144805E+01
   0.548801E-03   0.415819E+07   0.415816E+07   0.420660E+07   0.419900E+07   0.412745E+07   0.415763E+07   0.415819E+07   0.416199E+07  -0.597548E+00   0.413360E+07   0.413359E+07   0.161311E+01
   0.613296E-03   0.415600E+07   0.415596E+07   0.392270E+07   0.391408E+07   0.411705E+07   0.415529E+07   0.415599E+07   0.415936E+07  -0.597154E+00   0.413133E+07   0.413133E+07   0.179569E+01
   0.685369E-03   0.415329E+07   0.415324E+07   0.359391E+07   0.358441E+07   0.410419E+07   0.415240E+07   0.415328E+07   0.415612E+07  -0.596671E+00   0.412852E+07   0.412852E+07   0.199722E+01
   0.765913E-03   0.414994E+07   0.414987E+07   0.322063E+07   0.321055E+07   0.408832E+07   0.414882E+07   0.414993E+07   0.415216E+07  -0.596078E+00   0.412505E+07   0.412504E+07   0.221911E+01
   0.855923E-03   0.414582E+07   0.414573E+07   0.280751E+07   0.279734E+07   0.406874E+07   0.414442E+07   0.414580E+07   0.414732E+07  -0.595356E+00   0.412077E+07   0.412076E+07   0.246274E+01
   0.956510E-03   0.414075E+07   0.414065E+07   0.236514E+07   0.235561E+07   0.404477E+07   0.413901E+07   0.414074E+07   0.414146E+07  -0.594479E+00   0.411550E+07   0.411549E+07   0.272940E+01
   0.106892E-02   0.413456E+07   0.413444E+07   0.191144E+07   0.190349E+07   0.401548E+07   0.413240E+07   0.413454E+07   0.413438E+07  -0.593422E+00   0.410905E+07   0.410904E+07   0.302032E+01
   0.119454E-02   0.412702E+07   0.412686E+07   0.147197E+07   0.146659E+07   0.397989E+07   0.412434E+07   0.412699E+07   0.412587E+07  -0.592152E+00   0.410117E+07   0.410116E+07   0.333670E+01
   0.133492E-02   0.411788E+07   0.411768E+07   0.107792E+07   0.107588E+07   0.393692E+07   0.411459E+07   0.411784E+07   0.411570E+07  -0.590639E+00   0.409161E+07   0.409160E+07   0.367978E+01
   0.149180E-02   0.410685E+07   0.410661E+07   0.760469E+06   0.761900E+06   0.388542E+07   0.410283E+07   0.410681E+07   0.410361E+07  -0.588846E+00   0.408006E+07   0.408004E+07   0.405098E+01
