#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.197821E+08   0.197821E+08   0.256782E+08   0.256772E+08   0.197814E+08   0.197821E+08   0.197821E+08   0.197866E+08  -0.473105E+00   0.104470E+08   0.104470E+08   0.417261E-01
   0.830005E-04   0.197819E+08   0.197819E+08   0.255068E+08   0.255056E+08   0.197808E+08   0.197819E+08   0.197819E+08   0.197863E+08  -0.473097E+00   0.104468E+08   0.104468E+08   0.466151E-01
   0.927547E-04   0.197815E+08   0.197815E+08   0.252943E+08   0.252927E+08   0.197801E+08   0.197815E+08   0.197815E+08   0.197859E+08  -0.473087E+00   0.104466E+08   0.104466E+08   0.520729E-01
   0.103655E-03   0.197811E+08   0.197811E+08   0.250311E+08   0.250291E+08   0.197792E+08   0.197811E+08   0.197811E+08   0.197854E+08  -0.473075E+00   0.104464E+08   0.104464E+08   0.581642E-01
   0.115837E-03   0.197806E+08   0.197806E+08   0.247059E+08   0.247035E+08   0.197781E+08   0.197805E+08   0.197806E+08   0.197848E+08  -0.473059E+00   0.104461E+08   0.104461E+08   0.649601E-01
   0.129450E-03   0.197799E+08   0.197799E+08   0.243052E+08   0.243023E+08   0.197768E+08   0.197799E+08   0.197799E+08   0.197841E+08  -0.473040E+00   0.104458E+08   0.104458E+08   0.725395E-01
   0.144662E-03   0.197791E+08   0.197791E+08   0.238132E+08   0.238096E+08   0.197750E+08   0.197790E+08   0.197791E+08   0.197831E+08  -0.473016E+00   0.104453E+08   0.104453E+08   0.809883E-01
   0.161663E-03   0.197781E+08   0.197781E+08   0.232115E+08   0.232072E+08   0.197729E+08   0.197780E+08   0.197781E+08   0.197820E+08  -0.472987E+00   0.104448E+08   0.104448E+08   0.904008E-01
   0.180661E-03   0.197768E+08   0.197768E+08   0.224797E+08   0.224746E+08   0.197702E+08   0.197767E+08   0.197768E+08   0.197806E+08  -0.472950E+00   0.104441E+08   0.104441E+08   0.100879E+00
   0.201893E-03   0.197752E+08   0.197752E+08   0.215956E+08   0.215895E+08   0.197669E+08   0.197751E+08   0.197752E+08   0.197788E+08  -0.472905E+00   0.104432E+08   0.104432E+08   0.112534E+00
   0.225619E-03   0.197732E+08   0.197732E+08   0.205364E+08   0.205293E+08   0.197628E+08   0.197731E+08   0.197732E+08   0.197766E+08  -0.472848E+00   0.104422E+08   0.104422E+08   0.125483E+00
   0.252133E-03   0.197708E+08   0.197708E+08   0.192809E+08   0.192728E+08   0.197576E+08   0.197706E+08   0.197708E+08   0.197739E+08  -0.472779E+00   0.104408E+08   0.104408E+08   0.139851E+00
   0.281764E-03   0.197678E+08   0.197677E+08   0.178127E+08   0.178036E+08   0.197512E+08   0.197675E+08   0.197678E+08   0.197705E+08  -0.472693E+00   0.104392E+08   0.104392E+08   0.155770E+00
   0.314876E-03   0.197640E+08   0.197640E+08   0.161250E+08   0.161152E+08   0.197432E+08   0.197636E+08   0.197640E+08   0.197664E+08  -0.472587E+00   0.104371E+08   0.104371E+08   0.173375E+00
   0.351880E-03   0.197593E+08   0.197593E+08   0.142270E+08   0.142169E+08   0.197332E+08   0.197588E+08   0.197593E+08   0.197613E+08  -0.472457E+00   0.104346E+08   0.104346E+08   0.192804E+00
   0.393233E-03   0.197535E+08   0.197535E+08   0.121520E+08   0.121422E+08   0.197209E+08   0.197530E+08   0.197535E+08   0.197551E+08  -0.472298E+00   0.104315E+08   0.104315E+08   0.214196E+00
   0.439445E-03   0.197464E+08   0.197464E+08   0.996507E+07   0.995637E+07   0.197057E+08   0.197457E+08   0.197464E+08   0.197474E+08  -0.472105E+00   0.104276E+08   0.104276E+08   0.237692E+00
   0.491089E-03   0.197377E+08   0.197377E+08   0.776829E+07   0.776172E+07   0.196868E+08   0.197368E+08   0.197377E+08   0.197381E+08  -0.471870E+00   0.104229E+08   0.104229E+08   0.263428E+00
   0.548801E-03   0.197270E+08   0.197270E+08   0.569871E+07   0.569518E+07   0.196635E+08   0.197258E+08   0.197270E+08   0.197268E+08  -0.471587E+00   0.104170E+08   0.104170E+08   0.291548E+00
   0.613296E-03   0.197139E+08   0.197139E+08   0.391216E+07   0.391214E+07   0.196349E+08   0.197125E+08   0.197139E+08   0.197132E+08  -0.471246E+00   0.104099E+08   0.104099E+08   0.322201E+00
   0.685369E-03   0.196980E+08   0.196980E+08   0.254814E+07   0.255121E+07   0.195997E+08   0.196962E+08   0.196980E+08   0.196967E+08  -0.470838E+00   0.104013E+08   0.104013E+08   0.355558E+00
   0.765913E-03   0.196787E+08   0.196786E+08   0.167716E+07   0.168170E+07   0.195566E+08   0.196765E+08   0.196787E+08   0.196768E+08  -0.470351E+00   0.103908E+08   0.103908E+08   0.391823E+00
   0.855923E-03   0.196554E+08   0.196553E+08   0.124908E+07   0.125259E+07   0.195040E+08   0.196527E+08   0.196554E+08   0.196529E+08  -0.469769E+00   0.103782E+08   0.103782E+08   0.431244E+00
   0.956510E-03   0.196274E+08   0.196273E+08   0.108222E+07   0.108257E+07   0.194401E+08   0.196240E+08   0.196274E+08   0.196242E+08  -0.469075E+00   0.103630E+08   0.103630E+08   0.474117E+00
   0.106892E-02   0.195937E+08   0.195936E+08   0.938471E+06   0.935836E+06   0.193627E+08   0.195896E+08   0.195937E+08   0.195897E+08  -0.468247E+00   0.103448E+08   0.103448E+08   0.520776E+00
   0.119454E-02   0.195535E+08   0.195534E+08   0.679197E+06   0.676631E+06   0.192692E+08   0.195484E+08   0.195535E+08   0.195485E+08  -0.467258E+00   0.103231E+08   0.103231E+08   0.571572E+00
   0.133492E-02   0.195056E+08   0.195053E+08   0.379927E+06   0.380521E+06   0.191571E+08   0.194993E+08   0.195055E+08   0.194993E+08  -0.466080E+00   0.102972E+08   0.102972E+08   0.626854E+00
   0.149180E-02   0.194485E+08   0.194483E+08   0.221994E+06   0.224307E+06   0.190233E+08   0.194408E+08   0.194485E+08   0.194409E+08  -0.464680E+00   0.102664E+08   0.102664E+08   0.686984E+00
   0.166711E-02   0.193809E+08   0.193806E+08   0.209571E+06   0.209221E+06   0.188646E+08   0.193716E+08   0.193809E+08   0.193716E+08  -0.463023E+00   0.102300E+08   0.102300E+08   0.752360E+00
