#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.622858E+07   0.622858E+07   0.824196E+07   0.824165E+07   0.622978E+07   0.622860E+07   0.622858E+07   0.623430E+07  -0.596521E+00   0.611496E+07   0.611496E+07   0.153155E+00
   0.830005E-04   0.622851E+07   0.622851E+07   0.822630E+07   0.822592E+07   0.622952E+07   0.622853E+07   0.622851E+07   0.623421E+07  -0.596513E+00   0.611489E+07   0.611489E+07   0.171134E+00
   0.927547E-04   0.622843E+07   0.622843E+07   0.820679E+07   0.820632E+07   0.622920E+07   0.622844E+07   0.622843E+07   0.623411E+07  -0.596503E+00   0.611480E+07   0.611480E+07   0.191219E+00
   0.103655E-03   0.622832E+07   0.622832E+07   0.818249E+07   0.818190E+07   0.622879E+07   0.622833E+07   0.622832E+07   0.623398E+07  -0.596490E+00   0.611470E+07   0.611470E+07   0.213653E+00
   0.115837E-03   0.622819E+07   0.622818E+07   0.815223E+07   0.815150E+07   0.622829E+07   0.622819E+07   0.622819E+07   0.623382E+07  -0.596474E+00   0.611456E+07   0.611456E+07   0.238709E+00
   0.129450E-03   0.622802E+07   0.622802E+07   0.811460E+07   0.811369E+07   0.622766E+07   0.622801E+07   0.622802E+07   0.623362E+07  -0.596454E+00   0.611439E+07   0.611439E+07   0.266689E+00
   0.144662E-03   0.622781E+07   0.622781E+07   0.806782E+07   0.806669E+07   0.622688E+07   0.622779E+07   0.622781E+07   0.623337E+07  -0.596429E+00   0.611418E+07   0.611418E+07   0.297928E+00
   0.161663E-03   0.622755E+07   0.622755E+07   0.800976E+07   0.800837E+07   0.622590E+07   0.622752E+07   0.622755E+07   0.623305E+07  -0.596398E+00   0.611392E+07   0.611392E+07   0.332798E+00
   0.180661E-03   0.622723E+07   0.622723E+07   0.793780E+07   0.793608E+07   0.622468E+07   0.622718E+07   0.622723E+07   0.623267E+07  -0.596360E+00   0.611360E+07   0.611360E+07   0.371711E+00
   0.201893E-03   0.622683E+07   0.622682E+07   0.784880E+07   0.784668E+07   0.622316E+07   0.622676E+07   0.622682E+07   0.623218E+07  -0.596311E+00   0.611319E+07   0.611319E+07   0.415120E+00
   0.225619E-03   0.622632E+07   0.622632E+07   0.773896E+07   0.773636E+07   0.622126E+07   0.622623E+07   0.622632E+07   0.623158E+07  -0.596251E+00   0.611268E+07   0.611268E+07   0.463524E+00
   0.252133E-03   0.622570E+07   0.622569E+07   0.760382E+07   0.760066E+07   0.621889E+07   0.622557E+07   0.622569E+07   0.623082E+07  -0.596177E+00   0.611205E+07   0.611205E+07   0.517468E+00
   0.281764E-03   0.622491E+07   0.622490E+07   0.743818E+07   0.743434E+07   0.621593E+07   0.622475E+07   0.622491E+07   0.622989E+07  -0.596084E+00   0.611126E+07   0.611126E+07   0.577547E+00
   0.314876E-03   0.622394E+07   0.622393E+07   0.723611E+07   0.723149E+07   0.621225E+07   0.622373E+07   0.622394E+07   0.622873E+07  -0.595968E+00   0.611028E+07   0.611028E+07   0.644406E+00
   0.351880E-03   0.622273E+07   0.622272E+07   0.699105E+07   0.698554E+07   0.620767E+07   0.622246E+07   0.622273E+07   0.622728E+07  -0.595825E+00   0.610906E+07   0.610906E+07   0.718737E+00
   0.393233E-03   0.622122E+07   0.622121E+07   0.669606E+07   0.668957E+07   0.620196E+07   0.622087E+07   0.622122E+07   0.622550E+07  -0.595648E+00   0.610754E+07   0.610754E+07   0.801275E+00
   0.439445E-03   0.621935E+07   0.621933E+07   0.634430E+07   0.633679E+07   0.619487E+07   0.621891E+07   0.621935E+07   0.622329E+07  -0.595428E+00   0.610565E+07   0.610565E+07   0.892797E+00
   0.491089E-03   0.621703E+07   0.621701E+07   0.592980E+07   0.592127E+07   0.618606E+07   0.621647E+07   0.621703E+07   0.622057E+07  -0.595158E+00   0.610330E+07   0.610330E+07   0.994105E+00
   0.548801E-03   0.621416E+07   0.621413E+07   0.544870E+07   0.543928E+07   0.617513E+07   0.621345E+07   0.621416E+07   0.621722E+07  -0.594824E+00   0.610039E+07   0.610039E+07   0.110602E+01
   0.613296E-03   0.621061E+07   0.621057E+07   0.490092E+07   0.489089E+07   0.616159E+07   0.620972E+07   0.621060E+07   0.621311E+07  -0.594416E+00   0.609679E+07   0.609679E+07   0.122936E+01
   0.685369E-03   0.620623E+07   0.620618E+07   0.429243E+07   0.428226E+07   0.614486E+07   0.620512E+07   0.620622E+07   0.620808E+07  -0.593916E+00   0.609235E+07   0.609234E+07   0.136494E+01
   0.765913E-03   0.620085E+07   0.620078E+07   0.363765E+07   0.362806E+07   0.612422E+07   0.619946E+07   0.620084E+07   0.620197E+07  -0.593308E+00   0.608687E+07   0.608686E+07   0.151353E+01
   0.855923E-03   0.619424E+07   0.619416E+07   0.296172E+07   0.295363E+07   0.609883E+07   0.619251E+07   0.619423E+07   0.619456E+07  -0.592572E+00   0.608014E+07   0.608013E+07   0.167589E+01
   0.956510E-03   0.618618E+07   0.618608E+07   0.230115E+07   0.229555E+07   0.606777E+07   0.618403E+07   0.618616E+07   0.618562E+07  -0.591686E+00   0.607190E+07   0.607190E+07   0.185273E+01
   0.106892E-02   0.617638E+07   0.617625E+07   0.170145E+07   0.169915E+07   0.602990E+07   0.617372E+07   0.617636E+07   0.617489E+07  -0.590624E+00   0.606187E+07   0.606186E+07   0.204483E+01
   0.119454E-02   0.616451E+07   0.616435E+07   0.120947E+07   0.121066E+07   0.598397E+07   0.616123E+07   0.616448E+07   0.616207E+07  -0.589358E+00   0.604971E+07   0.604970E+07   0.225303E+01
   0.133492E-02   0.615022E+07   0.615002E+07   0.859721E+06   0.863559E+06   0.592862E+07   0.614620E+07   0.615018E+07   0.614679E+07  -0.587858E+00   0.603504E+07   0.603503E+07   0.247840E+01
   0.149180E-02   0.613309E+07   0.613285E+07   0.657097E+06   0.661553E+06   0.586241E+07   0.612818E+07   0.613306E+07   0.612864E+07  -0.586086E+00   0.601746E+07   0.601745E+07   0.272233E+01
   0.166711E-02   0.611270E+07   0.611239E+07   0.564972E+06   0.567480E+06   0.578393E+07   0.610673E+07   0.611265E+07   0.610712E+07  -0.583998E+00   0.599653E+07   0.599652E+07   0.298654E+01
   0.186303E-02   0.608856E+07   0.608817E+07   0.513218E+06   0.512296E+06   0.569320E+07   0.608138E+07   0.608850E+07   0.608173E+07  -0.581549E+00   0.597181E+07   0.597180E+07   0.327309E+01
   0.208197E-02   0.606007E+07   0.605959E+07   0.435967E+06   0.432916E+06   0.558709E+07   0.605148E+07   0.605999E+07   0.605178E+07  -0.578673E+00   0.594269E+07   0.594267E+07   0.358412E+01
   0.232664E-02   0.602665E+07   0.602605E+07   0.322108E+06   0.320514E+06   0.546595E+07   0.601646E+07   0.602656E+07   0.601669E+07  -0.575309E+00   0.590862E+07   0.590860E+07   0.392168E+01
