#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.499572E+07   0.499572E+07   0.662080E+07   0.662056E+07   0.499747E+07   0.499576E+07   0.499572E+07   0.500147E+07  -0.598326E+00   0.494748E+07   0.494748E+07   0.187863E+00
   0.830005E-04   0.499567E+07   0.499567E+07   0.661077E+07   0.661047E+07   0.499725E+07   0.499570E+07   0.499567E+07   0.500141E+07  -0.598318E+00   0.494742E+07   0.494742E+07   0.209921E+00
   0.927547E-04   0.499561E+07   0.499561E+07   0.659827E+07   0.659789E+07   0.499697E+07   0.499563E+07   0.499561E+07   0.500133E+07  -0.598308E+00   0.494736E+07   0.494736E+07   0.234563E+00
   0.103655E-03   0.499553E+07   0.499552E+07   0.658268E+07   0.658221E+07   0.499662E+07   0.499555E+07   0.499553E+07   0.500123E+07  -0.598296E+00   0.494727E+07   0.494727E+07   0.262091E+00
   0.115837E-03   0.499542E+07   0.499542E+07   0.656326E+07   0.656268E+07   0.499619E+07   0.499544E+07   0.499542E+07   0.500110E+07  -0.598280E+00   0.494717E+07   0.494717E+07   0.292840E+00
   0.129450E-03   0.499530E+07   0.499530E+07   0.653909E+07   0.653837E+07   0.499564E+07   0.499530E+07   0.499530E+07   0.500095E+07  -0.598261E+00   0.494704E+07   0.494704E+07   0.327181E+00
   0.144662E-03   0.499514E+07   0.499514E+07   0.650902E+07   0.650812E+07   0.499497E+07   0.499514E+07   0.499514E+07   0.500076E+07  -0.598237E+00   0.494688E+07   0.494688E+07   0.365529E+00
   0.161663E-03   0.499494E+07   0.499494E+07   0.647165E+07   0.647053E+07   0.499412E+07   0.499493E+07   0.499494E+07   0.500051E+07  -0.598207E+00   0.494668E+07   0.494668E+07   0.408343E+00
   0.180661E-03   0.499469E+07   0.499469E+07   0.642526E+07   0.642388E+07   0.499307E+07   0.499466E+07   0.499469E+07   0.500021E+07  -0.598169E+00   0.494642E+07   0.494642E+07   0.456134E+00
   0.201893E-03   0.499439E+07   0.499438E+07   0.636777E+07   0.636606E+07   0.499175E+07   0.499434E+07   0.499439E+07   0.499984E+07  -0.598123E+00   0.494611E+07   0.494611E+07   0.509463E+00
   0.225619E-03   0.499400E+07   0.499400E+07   0.629664E+07   0.629455E+07   0.499011E+07   0.499393E+07   0.499400E+07   0.499937E+07  -0.598064E+00   0.494572E+07   0.494572E+07   0.568952E+00
   0.252133E-03   0.499352E+07   0.499352E+07   0.620887E+07   0.620630E+07   0.498806E+07   0.499342E+07   0.499352E+07   0.499878E+07  -0.597992E+00   0.494523E+07   0.494523E+07   0.635282E+00
   0.281764E-03   0.499293E+07   0.499292E+07   0.610087E+07   0.609773E+07   0.498551E+07   0.499279E+07   0.499292E+07   0.499806E+07  -0.597902E+00   0.494462E+07   0.494462E+07   0.709202E+00
   0.314876E-03   0.499218E+07   0.499217E+07   0.596848E+07   0.596467E+07   0.498233E+07   0.499200E+07   0.499218E+07   0.499716E+07  -0.597790E+00   0.494386E+07   0.494386E+07   0.791524E+00
   0.351880E-03   0.499126E+07   0.499124E+07   0.580694E+07   0.580236E+07   0.497837E+07   0.499102E+07   0.499126E+07   0.499604E+07  -0.597651E+00   0.494291E+07   0.494291E+07   0.883129E+00
   0.393233E-03   0.499010E+07   0.499009E+07   0.561101E+07   0.560554E+07   0.497343E+07   0.498980E+07   0.499010E+07   0.499465E+07  -0.597478E+00   0.494173E+07   0.494173E+07   0.984960E+00
   0.439445E-03   0.498867E+07   0.498865E+07   0.537510E+07   0.536867E+07   0.496730E+07   0.498828E+07   0.498867E+07   0.499292E+07  -0.597264E+00   0.494027E+07   0.494027E+07   0.109802E+01
   0.491089E-03   0.498689E+07   0.498687E+07   0.509373E+07   0.508626E+07   0.495968E+07   0.498640E+07   0.498689E+07   0.499080E+07  -0.597000E+00   0.493844E+07   0.493844E+07   0.122337E+01
   0.548801E-03   0.498469E+07   0.498466E+07   0.476205E+07   0.475357E+07   0.495022E+07   0.498406E+07   0.498468E+07   0.498817E+07  -0.596673E+00   0.493618E+07   0.493618E+07   0.136210E+01
   0.613296E-03   0.498196E+07   0.498192E+07   0.437691E+07   0.436752E+07   0.493850E+07   0.498117E+07   0.498195E+07   0.498495E+07  -0.596272E+00   0.493338E+07   0.493338E+07   0.151531E+01
   0.685369E-03   0.497858E+07   0.497853E+07   0.393817E+07   0.392814E+07   0.492399E+07   0.497759E+07   0.497858E+07   0.498099E+07  -0.595780E+00   0.492991E+07   0.492991E+07   0.168413E+01
   0.765913E-03   0.497443E+07   0.497436E+07   0.345046E+07   0.344027E+07   0.490610E+07   0.497319E+07   0.497442E+07   0.497617E+07  -0.595179E+00   0.492563E+07   0.492563E+07   0.186962E+01
   0.855923E-03   0.496932E+07   0.496924E+07   0.292522E+07   0.291557E+07   0.488406E+07   0.496777E+07   0.496930E+07   0.497029E+07  -0.594449E+00   0.492036E+07   0.492036E+07   0.207284E+01
   0.956510E-03   0.496306E+07   0.496295E+07   0.238243E+07   0.237422E+07   0.485708E+07   0.496113E+07   0.496304E+07   0.496319E+07  -0.593565E+00   0.491389E+07   0.491389E+07   0.229476E+01
