#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.237451E+06   0.237451E+06   0.316535E+06   0.316527E+06   0.263494E+06   0.238029E+06   0.237451E+06   0.243526E+06  -0.604534E+00   0.236374E+06   0.236373E+06   0.272246E+01
   0.830005E-04   0.237451E+06   0.237450E+06   0.316518E+06   0.316508E+06   0.263483E+06   0.238028E+06   0.237451E+06   0.243525E+06  -0.604531E+00   0.236373E+06   0.236373E+06   0.304239E+01
   0.927547E-04   0.237450E+06   0.237449E+06   0.316496E+06   0.316483E+06   0.263469E+06   0.238027E+06   0.237450E+06   0.243523E+06  -0.604526E+00   0.236372E+06   0.236372E+06   0.339991E+01
   0.103655E-03   0.237448E+06   0.237448E+06   0.316468E+06   0.316453E+06   0.263451E+06   0.238025E+06   0.237448E+06   0.243521E+06  -0.604521E+00   0.236370E+06   0.236370E+06   0.379944E+01
   0.115837E-03   0.237447E+06   0.237446E+06   0.316434E+06   0.316415E+06   0.263429E+06   0.238023E+06   0.237447E+06   0.243518E+06  -0.604514E+00   0.236369E+06   0.236369E+06   0.424591E+01
   0.129450E-03   0.237445E+06   0.237444E+06   0.316391E+06   0.316367E+06   0.263402E+06   0.238021E+06   0.237445E+06   0.243515E+06  -0.604506E+00   0.236367E+06   0.236367E+06   0.474483E+01
   0.144662E-03   0.237443E+06   0.237441E+06   0.316338E+06   0.316308E+06   0.263367E+06   0.238018E+06   0.237443E+06   0.243511E+06  -0.604496E+00   0.236365E+06   0.236364E+06   0.530237E+01
   0.161663E-03   0.237440E+06   0.237438E+06   0.316272E+06   0.316234E+06   0.263325E+06   0.238014E+06   0.237440E+06   0.243506E+06  -0.604483E+00   0.236362E+06   0.236361E+06   0.592540E+01
   0.180661E-03   0.237437E+06   0.237434E+06   0.316188E+06   0.316142E+06   0.263271E+06   0.238009E+06   0.237436E+06   0.243500E+06  -0.604467E+00   0.236358E+06   0.236357E+06   0.662160E+01
   0.201893E-03   0.237432E+06   0.237429E+06   0.316085E+06   0.316026E+06   0.263204E+06   0.238003E+06   0.237432E+06   0.243492E+06  -0.604447E+00   0.236353E+06   0.236352E+06   0.739958E+01
   0.225619E-03   0.237427E+06   0.237423E+06   0.315955E+06   0.315882E+06   0.263121E+06   0.237996E+06   0.237426E+06   0.243483E+06  -0.604422E+00   0.236347E+06   0.236346E+06   0.826890E+01
   0.252133E-03   0.237420E+06   0.237415E+06   0.315793E+06   0.315702E+06   0.263017E+06   0.237987E+06   0.237419E+06   0.243471E+06  -0.604390E+00   0.236340E+06   0.236339E+06   0.924027E+01
   0.281764E-03   0.237411E+06   0.237405E+06   0.315591E+06   0.315478E+06   0.262887E+06   0.237975E+06   0.237410E+06   0.243456E+06  -0.604351E+00   0.236331E+06   0.236329E+06   0.103256E+02
   0.314876E-03   0.237400E+06   0.237393E+06   0.315339E+06   0.315197E+06   0.262725E+06   0.237961E+06   0.237399E+06   0.243437E+06  -0.604302E+00   0.236319E+06   0.236317E+06   0.115384E+02
   0.351880E-03   0.237387E+06   0.237377E+06   0.315025E+06   0.314848E+06   0.262523E+06   0.237943E+06   0.237385E+06   0.243414E+06  -0.604241E+00   0.236305E+06   0.236303E+06   0.128933E+02
   0.393233E-03   0.237370E+06   0.237358E+06   0.314632E+06   0.314412E+06   0.262271E+06   0.237920E+06   0.237368E+06   0.243384E+06  -0.604165E+00   0.236287E+06   0.236284E+06   0.144071E+02
   0.439445E-03   0.237349E+06   0.237334E+06   0.314143E+06   0.313868E+06   0.261956E+06   0.237892E+06   0.237347E+06   0.243348E+06  -0.604070E+00   0.236265E+06   0.236261E+06   0.160982E+02
   0.491089E-03   0.237323E+06   0.237304E+06   0.313532E+06   0.313190E+06   0.261563E+06   0.237857E+06   0.237320E+06   0.243302E+06  -0.603951E+00   0.236237E+06   0.236232E+06   0.179873E+02
   0.548801E-03   0.237290E+06   0.237267E+06   0.312772E+06   0.312345E+06   0.261074E+06   0.237814E+06   0.237286E+06   0.243246E+06  -0.603803E+00   0.236202E+06   0.236196E+06   0.200972E+02
   0.613296E-03   0.237249E+06   0.237220E+06   0.311824E+06   0.311293E+06   0.260464E+06   0.237759E+06   0.237245E+06   0.243175E+06  -0.603618E+00   0.236159E+06   0.236152E+06   0.224536E+02
   0.685369E-03   0.237198E+06   0.237162E+06   0.310644E+06   0.309983E+06   0.259704E+06   0.237692E+06   0.237192E+06   0.243086E+06  -0.603388E+00   0.236105E+06   0.236096E+06   0.250847E+02
   0.765913E-03   0.237135E+06   0.237089E+06   0.309175E+06   0.308355E+06   0.258758E+06   0.237607E+06   0.237127E+06   0.242976E+06  -0.603100E+00   0.236037E+06   0.236026E+06   0.280221E+02
   0.855923E-03   0.237055E+06   0.236999E+06   0.307350E+06   0.306332E+06   0.257582E+06   0.237502E+06   0.237046E+06   0.242839E+06  -0.602743E+00   0.235953E+06   0.235939E+06   0.313005E+02
   0.956510E-03   0.236956E+06   0.236886E+06   0.305083E+06   0.303823E+06   0.256122E+06   0.237370E+06   0.236945E+06   0.242669E+06  -0.602297E+00   0.235848E+06   0.235830E+06   0.349584E+02
   0.106892E-02   0.236833E+06   0.236745E+06   0.302273E+06   0.300715E+06   0.254309E+06   0.237207E+06   0.236819E+06   0.242456E+06  -0.601743E+00   0.235717E+06   0.235695E+06   0.390382E+02
   0.119454E-02   0.236680E+06   0.236569E+06   0.298794E+06   0.296874E+06   0.252064E+06   0.237004E+06   0.236662E+06   0.242193E+06  -0.601053E+00   0.235554E+06   0.235527E+06   0.435862E+02
   0.133492E-02   0.236488E+06   0.236351E+06   0.294500E+06   0.292140E+06   0.249289E+06   0.236751E+06   0.236467E+06   0.241865E+06  -0.600197E+00   0.235351E+06   0.235317E+06   0.486533E+02
   0.149180E-02   0.236251E+06   0.236079E+06   0.289211E+06   0.286324E+06   0.245868E+06   0.236437E+06   0.236223E+06   0.241460E+06  -0.599136E+00   0.235098E+06   0.235055E+06   0.542943E+02
   0.166711E-02   0.235955E+06   0.235741E+06   0.282722E+06   0.279208E+06   0.241663E+06   0.236048E+06   0.235921E+06   0.240958E+06  -0.597822E+00   0.234783E+06   0.234730E+06   0.605686E+02
   0.186303E-02   0.235588E+06   0.235321E+06   0.274796E+06   0.270546E+06   0.236523E+06   0.235567E+06   0.235545E+06   0.240339E+06  -0.596201E+00   0.234395E+06   0.234329E+06   0.675393E+02
   0.208197E-02   0.235133E+06   0.234799E+06   0.265168E+06   0.260071E+06   0.230258E+06   0.234973E+06   0.235080E+06   0.239578E+06  -0.594202E+00   0.233911E+06   0.233829E+06   0.752727E+02
   0.232664E-02   0.234570E+06   0.234154E+06   0.253557E+06   0.247508E+06   0.222678E+06   0.234241E+06   0.234503E+06   0.238644E+06  -0.591748E+00   0.233311E+06   0.233209E+06   0.838377E+02
   0.260006E-02   0.233874E+06   0.233355E+06   0.239677E+06   0.232595E+06   0.213579E+06   0.233343E+06   0.233791E+06   0.237505E+06  -0.588746E+00   0.232570E+06   0.232443E+06   0.933036E+02
   0.290562E-02   0.233017E+06   0.232371E+06   0.223272E+06   0.215125E+06   0.202766E+06   0.232246E+06   0.232914E+06   0.236123E+06  -0.585095E+00   0.231657E+06   0.231499E+06   0.103738E+03
