#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.119926E+08   0.119926E+08   0.157516E+08   0.157510E+08   0.119926E+08   0.119926E+08   0.119926E+08   0.119980E+08  -0.573798E+00   0.105190E+08   0.105190E+08   0.806785E-01
   0.830005E-04   0.119924E+08   0.119924E+08   0.156926E+08   0.156919E+08   0.119922E+08   0.119924E+08   0.119924E+08   0.119978E+08  -0.573789E+00   0.105189E+08   0.105189E+08   0.901413E-01
   0.927547E-04   0.119922E+08   0.119922E+08   0.156192E+08   0.156183E+08   0.119917E+08   0.119922E+08   0.119922E+08   0.119976E+08  -0.573778E+00   0.105187E+08   0.105187E+08   0.100709E+00
   0.103655E-03   0.119920E+08   0.119920E+08   0.155280E+08   0.155268E+08   0.119910E+08   0.119920E+08   0.119920E+08   0.119974E+08  -0.573765E+00   0.105185E+08   0.105185E+08   0.112508E+00
   0.115837E-03   0.119917E+08   0.119917E+08   0.154147E+08   0.154133E+08   0.119903E+08   0.119917E+08   0.119917E+08   0.119970E+08  -0.573748E+00   0.105182E+08   0.105182E+08   0.125680E+00
   0.129450E-03   0.119913E+08   0.119913E+08   0.152744E+08   0.152726E+08   0.119893E+08   0.119913E+08   0.119913E+08   0.119966E+08  -0.573726E+00   0.105179E+08   0.105179E+08   0.140381E+00
   0.144662E-03   0.119909E+08   0.119909E+08   0.151008E+08   0.150987E+08   0.119881E+08   0.119908E+08   0.119909E+08   0.119961E+08  -0.573700E+00   0.105175E+08   0.105175E+08   0.156781E+00
   0.161663E-03   0.119903E+08   0.119903E+08   0.148867E+08   0.148840E+08   0.119866E+08   0.119903E+08   0.119903E+08   0.119954E+08  -0.573667E+00   0.105170E+08   0.105170E+08   0.175072E+00
   0.180661E-03   0.119896E+08   0.119896E+08   0.146233E+08   0.146200E+08   0.119847E+08   0.119895E+08   0.119896E+08   0.119946E+08  -0.573626E+00   0.105164E+08   0.105164E+08   0.195460E+00
   0.201893E-03   0.119887E+08   0.119887E+08   0.143004E+08   0.142965E+08   0.119823E+08   0.119886E+08   0.119887E+08   0.119935E+08  -0.573575E+00   0.105156E+08   0.105156E+08   0.218173E+00
   0.225619E-03   0.119876E+08   0.119876E+08   0.139068E+08   0.139020E+08   0.119794E+08   0.119875E+08   0.119876E+08   0.119923E+08  -0.573512E+00   0.105146E+08   0.105146E+08   0.243455E+00
   0.252133E-03   0.119863E+08   0.119862E+08   0.134295E+08   0.134239E+08   0.119757E+08   0.119861E+08   0.119862E+08   0.119907E+08  -0.573433E+00   0.105134E+08   0.105134E+08   0.271573E+00
   0.281764E-03   0.119845E+08   0.119845E+08   0.128552E+08   0.128487E+08   0.119712E+08   0.119843E+08   0.119845E+08   0.119887E+08  -0.573335E+00   0.105118E+08   0.105118E+08   0.302810E+00
