#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742721E-04   0.227201E+07   0.227201E+07   0.302128E+07   0.302117E+07   0.227679E+07   0.227209E+07   0.227201E+07   0.227783E+07  -0.600326E+00   0.226823E+07   0.226823E+07   0.384340E+00
   0.830005E-04   0.227199E+07   0.227199E+07   0.301925E+07   0.301912E+07   0.227666E+07   0.227207E+07   0.227199E+07   0.227781E+07  -0.600320E+00   0.226821E+07   0.226821E+07   0.429488E+00
   0.927547E-04   0.227196E+07   0.227196E+07   0.301672E+07   0.301655E+07   0.227650E+07   0.227205E+07   0.227196E+07   0.227778E+07  -0.600311E+00   0.226818E+07   0.226818E+07   0.479935E+00
   0.103655E-03   0.227193E+07   0.227193E+07   0.301356E+07   0.301335E+07   0.227630E+07   0.227201E+07   0.227193E+07   0.227774E+07  -0.600300E+00   0.226815E+07   0.226815E+07   0.536300E+00
   0.115837E-03   0.227190E+07   0.227189E+07   0.300962E+07   0.300936E+07   0.227605E+07   0.227197E+07   0.227190E+07   0.227769E+07  -0.600287E+00   0.226811E+07   0.226811E+07   0.599274E+00
   0.129450E-03   0.227185E+07   0.227185E+07   0.300470E+07   0.300438E+07   0.227574E+07   0.227192E+07   0.227185E+07   0.227763E+07  -0.600270E+00   0.226806E+07   0.226806E+07   0.669629E+00
   0.144662E-03   0.227179E+07   0.227179E+07   0.299857E+07   0.299818E+07   0.227535E+07   0.227185E+07   0.227179E+07   0.227755E+07  -0.600249E+00   0.226800E+07   0.226800E+07   0.748224E+00
   0.161663E-03   0.227172E+07   0.227172E+07   0.299093E+07   0.299044E+07   0.227486E+07   0.227177E+07   0.227172E+07   0.227746E+07  -0.600223E+00   0.226792E+07   0.226792E+07   0.836016E+00
   0.180661E-03   0.227163E+07   0.227162E+07   0.298142E+07   0.298081E+07   0.227426E+07   0.227167E+07   0.227163E+07   0.227734E+07  -0.600191E+00   0.226783E+07   0.226783E+07   0.934070E+00
   0.201893E-03   0.227151E+07   0.227151E+07   0.296958E+07   0.296882E+07   0.227350E+07   0.227155E+07   0.227151E+07   0.227719E+07  -0.600150E+00   0.226771E+07   0.226771E+07   0.104357E+01
   0.225619E-03   0.227137E+07   0.227137E+07   0.295485E+07   0.295391E+07   0.227255E+07   0.227139E+07   0.227137E+07   0.227700E+07  -0.600099E+00   0.226756E+07   0.226756E+07   0.116583E+01
   0.252133E-03   0.227119E+07   0.227119E+07   0.293655E+07   0.293539E+07   0.227137E+07   0.227120E+07   0.227119E+07   0.227677E+07  -0.600036E+00   0.226737E+07   0.226737E+07   0.130232E+01
   0.281764E-03   0.227097E+07   0.227096E+07   0.291385E+07   0.291241E+07   0.226990E+07   0.227095E+07   0.227097E+07   0.227649E+07  -0.599957E+00   0.226714E+07   0.226714E+07   0.145464E+01
   0.314876E-03   0.227070E+07   0.227069E+07   0.288573E+07   0.288395E+07   0.226807E+07   0.227065E+07   0.227070E+07   0.227613E+07  -0.599859E+00   0.226685E+07   0.226685E+07   0.162457E+01
   0.351880E-03   0.227035E+07   0.227034E+07   0.285096E+07   0.284877E+07   0.226579E+07   0.227027E+07   0.227035E+07   0.227568E+07  -0.599737E+00   0.226649E+07   0.226649E+07   0.181408E+01
   0.393233E-03   0.226992E+07   0.226991E+07   0.280809E+07   0.280540E+07   0.226294E+07   0.226980E+07   0.226992E+07   0.227513E+07  -0.599585E+00   0.226604E+07   0.226604E+07   0.202531E+01
   0.439445E-03   0.226939E+07   0.226937E+07   0.275539E+07   0.275212E+07   0.225940E+07   0.226921E+07   0.226939E+07   0.227444E+07  -0.599396E+00   0.226548E+07   0.226548E+07   0.226061E+01
   0.491089E-03   0.226873E+07   0.226870E+07   0.269087E+07   0.268690E+07   0.225500E+07   0.226847E+07   0.226872E+07   0.227359E+07  -0.599161E+00   0.226478E+07   0.226478E+07   0.252251E+01
   0.548801E-03   0.226790E+07   0.226787E+07   0.261227E+07   0.260751E+07   0.224953E+07   0.226756E+07   0.226789E+07   0.227252E+07  -0.598869E+00   0.226391E+07   0.226391E+07   0.281375E+01
   0.613296E-03   0.226687E+07   0.226683E+07   0.251713E+07   0.251145E+07   0.224274E+07   0.226643E+07   0.226687E+07   0.227121E+07  -0.598508E+00   0.226283E+07   0.226282E+07   0.313725E+01
   0.685369E-03   0.226560E+07   0.226555E+07   0.240286E+07   0.239620E+07   0.223433E+07   0.226502E+07   0.226559E+07   0.226959E+07  -0.598062E+00   0.226148E+07   0.226148E+07   0.349607E+01
   0.765913E-03   0.226401E+07   0.226395E+07   0.226700E+07   0.225930E+07   0.222394E+07   0.226328E+07   0.226400E+07   0.226759E+07  -0.597511E+00   0.225981E+07   0.225981E+07   0.389340E+01
   0.855923E-03   0.226205E+07   0.226198E+07   0.210751E+07   0.209879E+07   0.221112E+07   0.226112E+07   0.226204E+07   0.226513E+07  -0.596834E+00   0.225775E+07   0.225774E+07   0.433250E+01
   0.956510E-03   0.225963E+07   0.225954E+07   0.192327E+07   0.191368E+07   0.219537E+07   0.225846E+07   0.225962E+07   0.226211E+07  -0.596004E+00   0.225519E+07   0.225518E+07   0.481660E+01
   0.106892E-02   0.225665E+07   0.225653E+07   0.171479E+07   0.170464E+07   0.217607E+07   0.225518E+07   0.225663E+07   0.225844E+07  -0.594992E+00   0.225204E+07   0.225203E+07   0.534888E+01
   0.119454E-02   0.225299E+07   0.225284E+07   0.148506E+07   0.147485E+07   0.215255E+07   0.225116E+07   0.225297E+07   0.225398E+07  -0.593762E+00   0.224816E+07   0.224815E+07   0.593232E+01
   0.133492E-02   0.224851E+07   0.224832E+07   0.124047E+07   0.123096E+07   0.212406E+07   0.224624E+07   0.224848E+07   0.224859E+07  -0.592278E+00   0.224341E+07   0.224339E+07   0.656970E+01
   0.149180E-02   0.224305E+07   0.224282E+07   0.991562E+06   0.983684E+06   0.208979E+07   0.224025E+07   0.224302E+07   0.224213E+07  -0.590498E+00   0.223761E+07   0.223759E+07   0.726357E+01
   0.166711E-02   0.223644E+07   0.223614E+07   0.753063E+06   0.747813E+06   0.204894E+07   0.223301E+07   0.223639E+07   0.223444E+07  -0.588379E+00   0.223056E+07   0.223054E+07   0.801633E+01
   0.186303E-02   0.222847E+07   0.222810E+07   0.542540E+06   0.540669E+06   0.200132E+07   0.222431E+07   0.222841E+07   0.222534E+07  -0.585881E+00   0.222209E+07   0.222206E+07   0.883052E+01
   0.208197E-02   0.221892E+07   0.221847E+07   0.376962E+06   0.378547E+06   0.194554E+07   0.221392E+07   0.221885E+07   0.221463E+07  -0.582951E+00   0.221192E+07   0.221189E+07   0.970917E+01
   0.232664E-02   0.220758E+07   0.220702E+07   0.266968E+06   0.270995E+06   0.188174E+07   0.220161E+07   0.220749E+07   0.220212E+07  -0.579544E+00   0.219985E+07   0.219981E+07   0.106563E+02
   0.260006E-02   0.219420E+07   0.219350E+07   0.210361E+06   0.214672E+06   0.181001E+07   0.218716E+07   0.219409E+07   0.218756E+07  -0.575610E+00   0.218563E+07   0.218558E+07   0.116776E+02
   0.290562E-02   0.217855E+07   0.217768E+07   0.188814E+06   0.190886E+06   0.173133E+07   0.217034E+07   0.217842E+07   0.217070E+07  -0.571092E+00   0.216906E+07   0.216900E+07   0.127800E+02
   0.324709E-02   0.216039E+07   0.215930E+07   0.173607E+06   0.172266E+06   0.164707E+07   0.215095E+07   0.216022E+07   0.215128E+07  -0.565925E+00   0.214994E+07   0.214987E+07   0.139716E+02
   0.362868E-02   0.213948E+07   0.213813E+07   0.142731E+06   0.139688E+06   0.155909E+07   0.212879E+07   0.213926E+07   0.212906E+07  -0.560043E+00   0.212806E+07   0.212797E+07   0.152603E+02
   0.405512E-02   0.211558E+07   0.211390E+07   0.992964E+05   0.981555E+05   0.146948E+07   0.210365E+07   0.211531E+07   0.210384E+07  -0.553382E+00   0.210323E+07   0.210312E+07   0.166528E+02
   0.453168E-02   0.208848E+07   0.208641E+07   0.679550E+05   0.698784E+05   0.137995E+07   0.207537E+07   0.208815E+07   0.207550E+07  -0.545895E+00   0.207526E+07   0.207513E+07   0.181545E+02
   0.506423E-02   0.205799E+07   0.205543E+07   0.604123E+05   0.617073E+05   0.129135E+07   0.204375E+07   0.205759E+07   0.204387E+07  -0.537544E+00   0.204398E+07   0.204382E+07   0.197708E+02
   0.512082E-02   0.205475E+07   0.205213E+07   0.602678E+05   0.612610E+05   0.128254E+07   0.204040E+07   0.205434E+07   0.204052E+07  -0.536659E+00   0.204066E+07   0.204050E+07   0.199389E+02
   0.517803E-02   0.205148E+07   0.204880E+07   0.600955E+05   0.607642E+05   0.127374E+07   0.203702E+07   0.205105E+07   0.203713E+07  -0.535766E+00   0.203731E+07   0.203714E+07   0.201083E+02
   0.523589E-02   0.204816E+07   0.204543E+07   0.598612E+05   0.601911E+05   0.126494E+07   0.203359E+07   0.204773E+07   0.203371E+07  -0.534863E+00   0.203392E+07   0.203375E+07   0.202788E+02
   0.529439E-02   0.204481E+07   0.204202E+07   0.595330E+05   0.595194E+05   0.125615E+07   0.203014E+07   0.204437E+07   0.203025E+07  -0.533951E+00   0.203050E+07   0.203032E+07   0.204506E+02
   0.535354E-02   0.204143E+07   0.203857E+07   0.590829E+05   0.587307E+05   0.124737E+07   0.202664E+07   0.204097E+07   0.202676E+07  -0.533030E+00   0.202704E+07   0.202686E+07   0.206236E+02
   0.541336E-02   0.203800E+07   0.203509E+07   0.584873E+05   0.578115E+05   0.123858E+07   0.202312E+07   0.203754E+07   0.202323E+07  -0.532100E+00   0.202354E+07   0.202336E+07   0.207979E+02
   0.547384E-02   0.203454E+07   0.203157E+07   0.577281E+05   0.567535E+05   0.122980E+07   0.201955E+07   0.203407E+07   0.201966E+07  -0.531160E+00   0.202001E+07   0.201983E+07   0.209733E+02
   0.553500E-02   0.203105E+07   0.202801E+07   0.567928E+05   0.555537E+05   0.122102E+07   0.201595E+07   0.203056E+07   0.201606E+07  -0.530210E+00   0.201645E+07   0.201626E+07   0.211500E+02
   0.559684E-02   0.202752E+07   0.202441E+07   0.556758E+05   0.542149E+05   0.121224E+07   0.201231E+07   0.202702E+07   0.201242E+07  -0.529251E+00   0.201285E+07   0.201266E+07   0.213280E+02
   0.565938E-02   0.202395E+07   0.202078E+07   0.543781E+05   0.527458E+05   0.120346E+07   0.200864E+07   0.202344E+07   0.200874E+07  -0.528283E+00   0.200921E+07   0.200901E+07   0.215072E+02
   0.572261E-02   0.202034E+07   0.201710E+07   0.529073E+05   0.511602E+05   0.119467E+07   0.200493E+07   0.201982E+07   0.200503E+07  -0.527304E+00   0.200553E+07   0.200533E+07   0.216876E+02
   0.578655E-02   0.201669E+07   0.201339E+07   0.512782E+05   0.494770E+05   0.118589E+07   0.200118E+07   0.201617E+07   0.200128E+07  -0.526317E+00   0.200182E+07   0.200162E+07   0.218692E+02
   0.585120E-02   0.201301E+07   0.200964E+07   0.495116E+05   0.477197E+05   0.117710E+07   0.199739E+07   0.201248E+07   0.199749E+07  -0.525319E+00   0.199807E+07   0.199787E+07   0.220521E+02
   0.591658E-02   0.200929E+07   0.200584E+07   0.476342E+05   0.459151E+05   0.116830E+07   0.199357E+07   0.200874E+07   0.199366E+07  -0.524311E+00   0.199429E+07   0.199408E+07   0.222363E+02
   0.598268E-02   0.200554E+07   0.200201E+07   0.456776E+05   0.440927E+05   0.115951E+07   0.198971E+07   0.200498E+07   0.198980E+07  -0.523294E+00   0.199047E+07   0.199025E+07   0.224217E+02
   0.604953E-02   0.200174E+07   0.199814E+07   0.436771E+05   0.422836E+05   0.115070E+07   0.198581E+07   0.200117E+07   0.198590E+07  -0.522267E+00   0.198661E+07   0.198639E+07   0.226083E+02
   0.611712E-02   0.199791E+07   0.199423E+07   0.416708E+05   0.405190E+05   0.114189E+07   0.198188E+07   0.199732E+07   0.198196E+07  -0.521229E+00   0.198271E+07   0.198249E+07   0.227962E+02
   0.618547E-02   0.199403E+07   0.199028E+07   0.396977E+05   0.388292E+05   0.113307E+07   0.197790E+07   0.199344E+07   0.197798E+07  -0.520182E+00   0.197878E+07   0.197855E+07   0.229853E+02
   0.625458E-02   0.199012E+07   0.198629E+07   0.377966E+05   0.372422E+05   0.112424E+07   0.197389E+07   0.198951E+07   0.197396E+07  -0.519125E+00   0.197480E+07   0.197457E+07   0.231757E+02
   0.632446E-02   0.198617E+07   0.198226E+07   0.360041E+05   0.357822E+05   0.111541E+07   0.196984E+07   0.198555E+07   0.196991E+07  -0.518057E+00   0.197079E+07   0.197056E+07   0.233673E+02
   0.639513E-02   0.198218E+07   0.197819E+07   0.343536E+05   0.344690E+05   0.110656E+07   0.196575E+07   0.198155E+07   0.196582E+07  -0.516980E+00   0.196674E+07   0.196650E+07   0.235602E+02
   0.646658E-02   0.197816E+07   0.197408E+07   0.328732E+05   0.333166E+05   0.109771E+07   0.196162E+07   0.197751E+07   0.196169E+07  -0.515892E+00   0.196266E+07   0.196241E+07   0.237542E+02
   0.653883E-02   0.197409E+07   0.196993E+07   0.315848E+05   0.323325E+05   0.108885E+07   0.195746E+07   0.197343E+07   0.195752E+07  -0.514794E+00   0.195853E+07   0.195828E+07   0.239496E+02
   0.661189E-02   0.196998E+07   0.196573E+07   0.305025E+05   0.315175E+05   0.107999E+07   0.195325E+07   0.196931E+07   0.195331E+07  -0.513686E+00   0.195437E+07   0.195411E+07   0.241461E+02
   0.668576E-02   0.196584E+07   0.196150E+07   0.296326E+05   0.308651E+05   0.107111E+07   0.194901E+07   0.196515E+07   0.194906E+07  -0.512567E+00   0.195016E+07   0.194990E+07   0.243439E+02
